Uniprot ID	Length
Q13946	482
Q14088	237
Q14168	576
Q14315	2725
Q15349	733
Q16671	573
Q17R55	369
Q2L4Q9	553
Q2TV78	715
Q3MIT2	529
Q3SYF9	63
Q53G44	452
Q5JTD7	316
Q5T3U5	1492
Q5TC79	503
Q5VTL8	546
Q6DN03	193
Q6IQ55	1244
Q6JHZ5	121
Q6NV75	609
Q6NZ36	180
Q6P5X7	295
Q7L3B6	337
Q7Z5L0	202
Q7Z5N4	2213
Q86W54	205
Q86X83	199
Q86YH6	399
Q86Z20	511
Q8IXT5	1001
Q8N531	539
Q8NBT3	493
Q8NFD5	2319
Q8NGR9	316
Q8WUM9	679
Q8WXK4	309
Q969H9	104
Q969M7	185
Q96CS7	222
Q96CX6	371
Q96DC9	234
Q96E11	262
Q96G30	205
Q96GL9	167
Q96QR8	312
Q99807	217
Q99956	384
Q9BPX1	270
Q9BUL8	212
Q9BV86	223
Q9BWS9	393
Q9BYD5	112
Q9BYW3	111
Q9H5I1	410
Q9H9J4	1324
Q9HCX3	659
Q9NRS6	342
Q9NSQ0	103
Q9NVZ3	263
Q9NZJ6	369
Q9UIV1	285
Q9UK28	342
Q9UK58	526
Q9UL42	364
Q9Y210	931
Q9Y6E2	419
Q9Y6H8	435
A0A096LP49	1063
A0A1B0GTH6	734
A0A1B0GUI7	84
A0A8V8TLY5	104
A1A4F0	135
A6NE02	478
A6NL88	538
O14867	736
O15014	1411
O43820	417
O75387	559
O75452	317
O95479	791
P01116	189
P01614	121
P08134	193
P09417	244
P09603	554
P0C0S5	128
P0CF75	366
P0DV74	464
P13929	434
P18440	290
P20339	215
P22692	258
P27487	766
P29034	98
P31949	105
P42681	527
P43657	344
P47775	334
P51687	545
P51809	220
P52564	334
P57053	126
P60484	403
P81274	684
Q08AG7	82
Q13415	861
Q13428	1488
Q13772	614
Q14344	377
Q15544	211
Q16625	522
Q30KQ8	113
Q502W7	563
Q58FF8	381
Q5H8A4	983
Q5VTE6	544
Q5VXU9	1444
Q6NXN4	242
Q6P9F0	684
Q6UYE1	221
Q6ZV89	423
Q6ZVT6	689
Q7Z3U7	1717
Q7Z4L5	1316
Q86VN1	386
Q8N465	521
Q8N4C7	294
Q8NCX0	1101
Q8NEF3	446
Q8TAE7	436
Q8TB40	342
Q8TDU6	330
Q8TDW0	803
Q8TE76	937
Q8TEB1	546
Q8WWU5	503
Q92905	334
Q96AQ1	378
Q96B01	352
Q96E52	524
Q96HQ0	510
Q96KF7	97
Q99819	225
Q9BWW7	348
Q9BXJ2	289
Q9H0I9	626
Q9H9G7	860
Q9HAF1	191
Q9HCC6	221
Q9NR46	395
Q9NRU3	951
Q9NUZ1	547
Q9NWH9	1034
Q9NWR8	336
Q9NX02	1062
Q9NYK6	297
Q9NYZ2	338
Q9P2N7	655
Q9P2X8	69
Q9UBQ0	182
Q9UET6	329
Q9UFH2	4462
Q9UHB6	759
Q9UI42	421
Q9ULE4	1060
Q9UMW8	372
Q9Y2B2	252
A0A597	114
A1A580	65
O00165	279
O00411	1230
O00469	737
O00591	440
O14792	307
O15050	2925
O43291	252
O75643	2136
O75953	348
O94851	1957
O95995	478
P0C629	311
P0C7V9	234
P0C881	870
P15407	271
P19838	968
P20155	84
P20338	218
P20813	491
P30049	168
P31151	101
P40855	299
P45379	298
P48047	213
P49720	205
P51888	382
P52945	283
P54257	671
P54819	239
P55055	460
P58215	753
P59773	190
P85299	388
P86481	221
Q01954	994
Q05329	585
Q12769	1436
Q13077	416
Q15878	2313
Q16143	134
Q2VYF4	491
Q2YD98	709
Q3B7T1	1238
Q4G0A6	757
Q5T7R7	199
Q5TCM9	118
Q6PL45	260
Q6ZMI3	551
Q76L83	1435
Q7Z5M8	362
Q7Z7L8	435
Q86SS6	491
Q86VY9	491
Q86WG5	1849
Q8IZC4	609
Q8IZI9	196
Q8N1G1	1221
Q8N3Y3	721
Q8N5U0	333
Q8N9B4	389
Q8NE28	680
Q8NGV6	325
Q8NH51	312
Q8NHQ8	419
Q8TD26	2715
Q8TDG4	1101
Q8WUX1	472
Q8WWP7	306
Q8WXK1	588
Q96C90	147
Q96EG3	531
Q96FQ7	95
Q96GS4	357
Q96GX8	76
Q96MH2	286
Q96P71	396
Q96RT1	1412
Q9BSU1	422
Q9BY41	377
Q9BYR5	136
Q9H0E9	1235
Q9H461	694
Q9HAT2	523
Q9NR50	452
Q9NRF2	756
Q9NS98	782
Q9NSU2	314
Q9NTG1	2253
Q9NU23	88
Q9UBS9	1254
Q9UGU0	1960
Q9UI36	758
Q9ULB4	789
Q9Y282	383
Q9Y2G3	1177
Q9Y2S7	368
Q9Y4C8	960
Q9Y5H2	935
A0A1W2PPE2	198
A0A5A2	114
A0N4X2	20
A6NEH6	219
C9JVI0	530
M0R2J8	1783
O14513	1909
O15537	224
O15547	441
O43825	422
O75971	98
O94850	711
O95816	211
O95992	272
P02787	698
P03886	318
P04908	130
P05112	153
P10600	412
P11177	359
P16402	221
P16870	476
P23381	471
P31276	330
P38567	509
P42695	1498
P43490	491
P45880	294
P49961	510
P51681	352
P51811	444
P52798	201
P56282	527
P56373	397
Q01151	205
Q02318	531
Q06945	474
Q08AI8	447
Q12791	1236
Q13117	558
Q13405	166
Q13630	321
Q14289	1009
Q15042	981
Q15818	432
Q17RN3	349
Q2QGD7	858
Q3B8N2	356
Q3YBM2	270
Q50LG9	513
Q587J7	1177
Q5M9N0	1113
Q5VZB9	504
Q6P3S1	775
Q6ZRV3	163
Q6ZT98	887
Q6ZUK4	368
Q7L8J4	393
Q7Z3V5	609
Q86TW2	530
Q86VD9	579
Q86XM0	798
Q8IVW1	177
Q8N205	404
Q8N5G0	67
Q8N8E3	955
Q8N988	423
Q8NCR3	313
Q8NDT2	890
Q8NHL6	650
Q8TCV5	224
Q8WUA2	492
Q92484	453
Q92979	244
Q96EX2	444
Q96JM3	812
Q9BRZ2	755
Q9BSE5	352
Q9BTY2	467
Q9BV87	410
Q9BWF3	364
Q9BWU1	502
Q9BYE0	225
Q9BYQ8	210
Q9BYR6	98
Q9BYW2	2564
Q9BZM4	244
Q9GZV9	251
Q9H8X2	491
Q9HA77	564
Q9HAQ2	790
Q9NYL9	352
Q9NZ01	308
Q9P0W2	317
Q9UBN6	386
Q9UKG1	709
Q9Y233	1055
Q9Y2B1	443
Q9Y512	469
Q9Y5U5	241
A0A075B6N4	114
A0A075B6V1	18
A0A1W2PQ72	361
A6NH00	312
A8MT70	800
A8MTL3	300
O15226	690
O43240	276
O43681	348
O75069	709
O95800	540
P01730	458
P01871	474
P08588	477
P0C860	356
P0CJ87	422
P0DJD9	388
P13010	732
P14415	290
P29992	359
P30405	207
P34096	147
P35580	1976
P36021	539
P41159	167
P51816	1311
P78314	561
P78334	506
P82909	103
Q01851	419
Q02543	176
Q07954	4544
Q08AH1	577
Q09MP3	1159
Q0VG06	881
Q0VGE8	651
Q12980	569
Q14765	748
Q15276	862
Q4G0G5	96
Q5T1R4	2406
Q5TGZ0	78
Q5TYX0	476
Q5VUG0	894
Q5VWG9	929
Q5W111	196
Q63HN1	556
Q68DI1	518
Q6P2C8	311
Q6P582	158
Q6UXR8	122
Q6ZMT1	411
Q6ZP01	1051
Q6ZS02	220
Q76FK4	1167
Q7Z745	1585
Q7Z769	313
Q86VZ2	330
Q86YL5	185
Q8IX01	1082
Q8IZL2	1156
Q8N5X7	224
Q8N5Z5	314
Q8NAG6	615
Q8NEF9	429
Q8NEZ2	397
Q8NH60	311
Q8NHU0	189
Q8TAG5	236
Q8TE67	593
Q8WU66	669
Q8WWL7	1395
Q8WYP3	895
Q96CM8	615
Q96CP7	247
Q96LJ7	313
Q96M32	723
Q96MX6	357
Q96NR8	316
Q96QH8	159
Q9BT17	334
Q9BTA9	647
Q9BTM9	101
Q9GZM5	350
Q9GZV5	400
Q9H201	632
Q9H313	450
Q9H340	312
Q9HBT6	801
Q9NRV9	189
Q9NXK8	326
Q9NY15	2570
Q9P2E3	1918
Q9UHK0	495
Q9UIK4	370
Q9UJX0	477
Q9UKL0	485
Q9UPX8	1849
Q9Y5Q9	886
Q9Y606	427
A0A0A0MRZ8	115
A0A1B0GUV8	181
A0A286YF18	149
A0A6Q8PGS0	86
A0AAG2TV48	102
A0AAQ5BGK1	37
A0PJX2	215
A3QJZ6	481
A6NCW7	530
A6NKG5	1358
O00548	723
O15144	300
O43247	280
O43548	720
O43598	174
O43638	330
O75460	977
O75678	378
O94911	1621
O94913	1555
P00325	375
P01593	117
P01733	115
P09131	477
P09211	210
P0C7M8	214
P15428	266
P19801	751
P24278	435
P29350	595
P52298	156
P52630	851
P54764	986
P56747	220
P59797	346
Q02577	135
Q02833	373
Q04837	148
Q10713	525
Q13938	275
Q14406	222
Q14498	530
Q15121	130
Q15256	657
Q15560	299
Q3SXZ3	478
Q3ZCV2	418
Q5SZJ8	279
Q5TEJ8	643
Q68D06	897
Q6FI13	130
Q6PB30	78
Q86VQ1	547
Q8IV33	1275
Q8IWT3	2517
Q8N103	731
Q8N146	312
Q8N4B5	295
Q8N4F0	458
Q8N693	406
Q8NER5	493
Q8NG08	1087
Q8NGJ7	313
Q8NGU1	314
Q8NI99	470
Q8TAD7	63
Q8TAI7	183
Q8TBX8	421
Q8TC05	714
Q8TDB8	520
Q8WV24	401
Q8WXS8	1223
Q92503	715
Q92569	461
Q92954	1404
Q93052	612
Q96BR5	231
Q96DZ9	223
Q96FH0	119
Q96LM9	149
Q99963	347
Q9BRT6	129
Q9BW61	102
Q9BY71	257
Q9C0C7	1298
Q9H1B5	865
Q9H6N6	1097
Q9H7Z6	458
Q9H8S5	307
Q9H9C1	493
Q9HBE5	538
Q9HC78	741
Q9NQI0	724
Q9NR64	748
Q9NRY6	295
Q9P0V8	285
Q9UHV5	662
Q9UIL1	159
Q9ULH4	789
Q9Y6A1	747
A0A286YF77	105
A0A590UJ96	1178
A2RUB1	952
A2RUR9	1427
A2VDJ0	1609
A6NCL7	494
A6NI61	221
A6NIH7	251
B9A014	251
C9JJH3	530
O14657	336
O15079	494
O15230	3695
O43189	567
O60242	1522
O75445	5202
O94888	489
O95049	919
O95847	323
P02766	147
P03999	345
P06733	434
P0C7N1	319
P15085	419
P15289	507
P17032	561
P29371	465
P46777	297
P49593	454
P50053	298
P54253	815
P56705	351
P57678	1058
P61204	181
P62195	406
P62910	135
P98164	4655
Q00577	322
Q07325	125
Q12802	2813
Q13164	816
Q15116	288
Q32P41	509
Q3MIV0	48
Q4KMG0	1287
Q53S33	107
Q5TB30	811
Q5VVW2	1013
Q68CJ9	461
Q68CL5	300
Q6IPU0	288
Q6UXQ4	117
Q6ZMN8	369
Q6ZTR5	3187
Q6ZUB1	1445
Q7RTT3	188
Q7Z478	1369
Q7Z5K2	1190
Q86TU6	105
Q86X27	583
Q86XK2	927
Q8IZ73	545
Q8N9F7	314
Q8NAF0	562
Q8NEG4	500
Q8NEL0	328
Q8TC92	643
Q8WTT0	213
Q8WYQ9	949
Q8WZ84	308
Q92504	469
Q92617	1050
Q96HI0	755
Q96J66	1382
Q96KS0	407
Q96LC7	697
Q9BQ31	491
Q9BQ39	737
Q9BTD1	123
Q9BV97	330
Q9BXI6	508
Q9GZU0	229
Q9H008	270
Q9H2K0	278
Q9H3S5	423
Q9H5N1	569
Q9HCH3	593
Q9HCN2	124
Q9NVF9	386
Q9P2L0	1181
Q9UKV0	1011
Q9UL19	164
Q9ULK0	1009
Q9UQ90	795
Q9Y244	141
Q9Y2K3	1926
Q9Y5H3	936
Q9Y5P0	310
Q9Y5P3	530
Q9Y6U7	377
A0A1W2PRN1	237
A0A286YEV6	105
A0AAG2SXN7	600
A1L429	117
A3KN83	1393
O00254	374
O14639	778
O15342	81
O15552	330
O60353	706
O75528	432
O95473	234
P01034	146
P01737	113
P08254	477
P0DPF2	5207
P0DV77	301
P11912	226
P18858	919
P19875	107
P21453	382
P23434	173
P26022	381
P27824	592
P30566	484
P39748	380
P48764	834
P50747	726
P51693	650
Q00587	391
Q09019	674
Q10472	559
Q13613	665
Q13795	201
Q147U1	533
Q15468	1287
Q15723	593
Q2NL68	480
Q5JTN6	314
Q5T686	147
Q5TF39	518
Q6ISB3	625
Q6P047	294
Q6P3W7	929
Q6TGC4	694
Q7RTU4	235
Q7Z6K3	402
Q7Z6R9	452
Q86VF5	341
Q86WR6	236
Q86XT9	240
Q8IYI6	725
Q8N4P3	179
Q8N813	242
Q8N9Z9	388
Q8NC60	698
Q8NGE9	314
Q8NGH9	312
Q8NGS4	319
Q8NHS2	421
Q8NHY6	868
Q8TAE8	222
Q8TC07	691
Q8TE12	382
Q8WVL7	239
Q92928	201
Q96CG3	184
Q96CM4	212
Q96F07	1278
Q96GW7	911
Q96NW7	1537
Q96PZ7	3564
Q96QU8	1125
Q99675	332
Q9BQI4	270
Q9BQT9	956
Q9BQY9	259
Q9BVV7	248
Q9BYE7	350
Q9BZA0	68
Q9BZE3	327
Q9C086	356
Q9GZR1	1112
Q9GZU7	261
Q9H2X8	130
Q9H346	318
Q9NPI9	418
Q9NQX0	595
Q9NRD0	319
Q9NUJ3	509
Q9NVE5	1235
Q9NX55	121
Q9NY27	417
Q9NZQ3	722
Q9UHV7	2174
Q9UJX5	808
Q9UMR3	447
Q9UQ53	548
Q9Y442	160
Q9Y6F6	904
A0A075B6I9	117
A0FGR9	886
A6NHS7	340
B7ZW38	293
C4AMC7	463
D6RGX4	464
H3BUK9	544
O00743	305
O14595	271
O43283	966
O76096	145
O95415	125
O95476	244
O95502	500
O95772	234
P06729	351
P07492	148
P0DPH9	108
P10070	1586
P10912	638
P13726	295
P18433	802
P20963	164
P21281	511
P25445	335
P30040	261
P35243	200
P42566	896
P49685	360
P51460	131
P61081	183
P82980	135
Q05940	514
Q08648	103
Q0VAQ4	97
Q15661	275
Q15848	244
Q16533	368
Q16678	543
Q19T08	205
Q5STR5	79
Q5SVZ6	1142
Q5VZR4	150
Q60I27	953
Q6NSX1	222
Q6UWI2	310
Q6ZN32	361
Q6ZWE6	761
Q70JA7	882
Q7L2K0	433
Q7L804	512
Q7Z4F1	713
Q7Z4J2	276
Q86T24	672
Q86W74	228
Q86WR7	435
Q8IU57	520
Q8IVW4	592
Q8IWE2	563
Q8IXI1	618
Q8N4C8	1332
Q8N539	461
Q8N6M0	293
Q8N729	165
Q8N8U9	685
Q8NB50	900
Q8NDN9	531
Q8NGV0	311
Q8NH64	312
Q8NHS3	518
Q8WTW3	980
Q8WXE1	791
Q8WYR4	309
Q92575	508
Q96D21	266
Q96DN6	1003
Q96HD9	319
Q96LB2	322
Q96N19	417
Q99784	485
Q9BRA2	123
Q9BY15	652
Q9BZJ0	848
Q9H2E6	1030
Q9H300	379
Q9H4L5	887
Q9H867	229
Q9H8M1	238
Q9NR21	338
Q9NRE2	1034
Q9NRY4	1499
Q9NV23	265
Q9NXF8	308
Q9NXL6	827
Q9UBP0	616
Q9UEU5	116
Q9UH36	339
Q9UQG0	969
Q9Y4E6	1490
Q9Y6A4	193
A0A075B6V2	18
A0A075B6Y9	20
A0A0B4J1X8	118
A0A2R8Y4M4	201
A5PLN9	417
A6H8M9	788
A6NCL1	334
A8MUZ8	300
O43155	660
O43159	456
O43169	150
O43766	372
O60309	1634
O60721	1099
O75486	317
O76036	304
O94875	1100
O94956	709
O95182	113
P01011	423
P01699	117
P01833	764
P04554	102
P08574	325
P0CH99	300
P0DMC3	54
P10082	97
P11801	424
P12524	364
P14651	431
P16871	459
P50995	505
P52952	324
P55103	352
P56278	107
P56559	192
P61129	1189
Q01831	940
Q04695	432
Q09327	533
Q13115	394
Q16352	499
Q309B1	348
Q3SYC2	334
Q496H8	165
Q5GLZ8	1057
Q5I0X7	151
Q5VWC8	232
Q6IEV9	310
Q6NZY7	148
Q6STE5	483
Q6ZRY4	209
Q6ZWJ8	1568
Q86T20	102
Q8IUF8	465
Q8IVF1	878
Q8IW03	269
Q8IXQ3	194
Q8IXQ8	264
Q8N1P7	1661
Q8N2H4	156
Q8N6N6	113
Q8N6U8	529
Q8N812	135
Q8NC54	265
Q8NFH4	326
Q8NG85	312
Q8NGF4	316
Q8NGJ8	323
Q8NGP9	310
Q8TBG9	265
Q8TC21	504
Q8WVJ2	157
Q8WZ92	322
Q92995	863
Q93084	999
Q96DC8	303
Q96KR6	192
Q96LL4	319
Q96MK3	541
Q96N67	2140
Q96PP9	640
Q96SM3	734
Q96T21	854
Q9BU40	456
Q9C0I4	1606
Q9GZT5	417
Q9H0X4	552
Q9H0Z9	239
Q9H115	298
Q9H4I9	107
Q9H720	699
Q9H8J5	431
Q9HCM3	1950
Q9NQR9	355
Q9NRQ2	329
Q9UBR5	152
Q9UN72	937
Q9Y5N6	252
Q9Y5Y6	855
A0A096LPG2	23
A0A0A0MTA3	13
A0A0J9YVS3	16
A0A0J9YXV3	536
A0A0K0K1C4	114
A0A2R8YED5	311
A6NCF6	341
A6NGH7	325
A6XGL0	299
B0FP48	263
B2RXF0	380
C9JI98	176
D6RCP7	530
O00257	560
O00453	97
O14508	198
O14512	581
O15156	539
O15194	276
O43261	78
O43555	120
O60756	84
O60879	1101
O60931	367
O75564	556
O95677	639
P00519	1130
P07204	575
P17040	1043
P17152	192
P19388	210
P26639	723
P29033	226
P30511	346
P30793	250
P34903	492
P35452	270
P36952	375
P37088	669
P46821	2468
P47944	62
P52746	1687
P55196	1824
P58872	404
P62502	163
Q02252	535
Q02539	215
Q02575	133
Q13129	1914
Q13503	144
Q14839	1912
Q15031	903
Q15084	440
Q15437	767
Q15813	527
Q16378	134
Q1EHB4	618
Q2WGJ6	581
Q330K2	333
Q5BN46	136
Q5FWF5	840
Q5JTJ3	125
Q5SRN2	563
Q5T3I0	446
Q5T6J7	187
Q5VTJ3	777
Q5VZ52	161
Q7KZI7	788
Q86UT6	975
Q86YW7	130
Q8IWU9	490
Q8IY84	436
Q8N131	208
Q8N4H0	392
Q8NCW6	608
Q8NF50	2099
Q8TES7	1133
Q8TEX9	1081
Q8WWN9	437
Q96EY8	250
Q96FF7	219
Q96R67	309
Q99542	508
Q9BXS6	441
Q9GZN7	287
Q9H1K1	167
Q9H6L4	198
Q9H987	977
Q9H9S0	305
Q9HC98	313
Q9HCU9	246
Q9NPA3	183
Q9NRX5	453
Q9P206	1035
Q9P241	1426
Q9UL17	535
Q9UL25	225
Q9Y276	419
Q9Y2U2	307
Q9Y4G2	1056
A0A075B6S6	120
A5D6W6	292
A6NJY1	282
A6NKC9	451
B0I1T2	1018
O00451	464
O14810	134
O15541	343
O43529	356
O60243	411
O75128	1261
O75820	626
O95757	839
O95868	133
P05231	212
P07327	375
P07476	585
P08473	750
P0C7U3	371
P0C875	324
P0CG08	455
P0DUD3	265
P22003	454
P22626	353
P26010	798
P26599	557
P30419	496
P31267	233
P31641	620
P32322	319
P35212	333
P40227	531
P49407	418
P50225	295
P50443	739
P51861	262
P55285	790
P78386	507
P80188	198
Q03426	396
Q14831	915
Q15435	360
Q15758	541
Q15849	920
Q15910	746
Q5H9L4	462
Q5T2Q4	361
Q5T7P8	510
Q5TEC6	136
Q5TIA1	1274
Q6JEL2	608
Q6UXB8	463
Q6ZNH5	498
Q6ZWI9	263
Q7Z434	540
Q86XE3	530
Q8IVV8	208
Q8IWU6	871
Q8N0V5	402
Q8N554	614
Q8N8Z8	693
Q8N9V2	468
Q8NF86	280
Q8TBJ4	325
Q8TF01	805
Q8WTU2	575
Q8WXS5	425
Q8WYQ5	773
Q92945	711
Q969M2	543
Q96C00	473
Q96CA5	298
Q96DZ7	209
Q96EP9	437
Q96JN0	433
Q96LD1	299
Q96NH3	1257
Q96PD5	576
Q96S07	402
Q96SB4	655
Q99848	306
Q9BT23	127
Q9BY79	579
Q9GZU8	254
Q9NPF2	352
Q9NVM1	165
Q9NXK6	330
Q9NZV7	527
Q9P203	1132
Q9P244	771
Q9UHB9	627
Q9UII2	106
Q9UMX6	200
Q9UN30	329
Q9UN81	338
Q9UNA3	340
Q9UNS2	423
Q9UQ84	846
Q9Y251	543
Q9Y6L7	1015
A0A0G2JQF1	25
A0A3B3IT33	452
A0PJE2	317
A6NI28	874
A6NI73	299
A8MVZ5	291
B3EWG6	89
O43194	453
O60412	319
O75095	1541
O75969	853
O94806	890
O95704	486
P01275	180
P01574	187
P0C0S8	130
P0C6P0	100
P0DH78	156
P0DN81	318
P15391	556
P15863	534
P17081	205
P19622	333
P22459	653
P25940	1745
P31513	532
P42765	397
P49207	117
P49247	311
P49589	748
P50539	228
P50579	478
Q00LT1	54
Q02241	960
Q03828	476
