gene_id	gene_name	uniprot_id	length	Hk
ENSG00000172733	PURG	Q9UJV8	347	0
ENSG00000092847	AGO1	Q9UL18	857	0
ENSG00000137225	CAPN11	Q9UMQ6	739	0
ENSG00000081386	ZNF510	Q9Y2H8	683	0
ENSG00000111727	HCFC2	Q9Y5Z7	792	0
ENSG00000144445	KANSL1L	A0AUZ9	987	0
ENSG00000183396	TMEM89	A2RUT3	159	0
ENSG00000204278	TMEM235	A6NFC5	223	0
ENSG00000170092	SPDYE5	A6NIY4	402	0
ENSG00000249861	LGALS16	A8MUM7	142	0
ENSG00000224982	TMEM233	B4DJY2	109	0
ENSG00000226742	HSBP1L1	C9JCN9	74	0
ENSG00000171608	PIK3CD	O00329	1044	0
ENSG00000214063	TSPAN4	O14817	238	0
ENSG00000182095	TNRC18	O15417	2968	0
ENSG00000108599	AKAP10	O43572	662	1
ENSG00000078618	NRDC	O43847	1151	0
ENSG00000185000	DGAT1	O75907	488	0
ENSG00000106823	ECM2	O94769	699	0
ENSG00000176658	MYO1D	O94832	1006	0
ENSG00000102908	NFAT5	O94916	1531	0
ENSG00000157765	SLC34A2	O95436	690	0
ENSG00000075426	FOS	P01100	380	0
ENSG00000159199	ATP5MC1	P05496	136	1
ENSG00000189060	H1-0	P07305	194	0
ENSG00000196230	TUBB	P07437	444	1
ENSG00000125870	SNRPB2	P08579	225	0
ENSG00000178394	HTR1A	P08908	422	0
ENSG00000237038	USP17L8	P0C7I0	530	0
ENSG00000236334	PPIAL4G	P0DN37	164	0
ENSG00000175745	NR2F1	P10589	423	0
ENSG00000187474	FPR3	P25089	353	0
ENSG00000168036	CTNNB1	P35222	781	1
ENSG00000125675	GRIA3	P42263	894	0
ENSG00000168938	PPIC	P45877	212	0
ENSG00000075785	RAB7A	P51149	207	1
ENSG00000129535	NRL	P54845	237	0
ENSG00000169071	ROR2	Q01974	943	0
ENSG00000178917	ZNF85	Q03923	595	0
ENSG00000115350	POLE	Q07864	2286	0
ENSG00000186973	FAP	Q12884	760	0
ENSG00000153246	PLA2R1	Q13018	1463	0
ENSG00000100330	MTMR3	Q13615	1198	0
ENSG00000155903	RASA2	Q15283	850	0
ENSG00000197111	PCBP2	Q15366	365	1
ENSG00000176200	OR4D1	Q15615	310	0
ENSG00000144040	FXN	Q16595	210	0
ENSG00000270231	NBPF8	Q3BBV2	869	0
ENSG00000182087	TMEM259	Q4ZIN3	620	1
ENSG00000198556	ZNF789	Q5FWF6	425	0
ENSG00000204544	MUC21	Q5SSG8	566	0
ENSG00000228727	SAPCD1	Q5SSQ6	148	0
ENSG00000186976	EFCAB6	Q5THR3	1501	0
ENSG00000182836	PLCXD3	Q63HM9	321	0
ENSG00000153721	CNKSR3	Q6P9H4	555	0
ENSG00000159648	SPMIP8	Q6URK8	216	0
ENSG00000156171	DRAM2	Q6UX65	266	0
ENSG00000174173	TRMT10C	Q7L0Y3	403	0
ENSG00000136933	RABEPK	Q7Z6M1	372	0
ENSG00000163870	TPRA1	Q86W33	373	0
ENSG00000170604	IRF2BP1	Q8IU81	584	1
ENSG00000131941	RHPN2	Q8IUC4	686	0
ENSG00000133454	MYO18B	Q8IUG5	2567	0
ENSG00000110675	ELMOD1	Q8N336	334	0
ENSG00000152939	MARVELD2	Q8N4S9	558	0
ENSG00000149532	CPSF7	Q8N684	471	0
ENSG00000153303	FRMD1	Q8N878	549	0
ENSG00000166105	GLB1L3	Q8NCI6	653	0
ENSG00000172519	OR10H5	Q8NGA6	315	0
ENSG00000186943	OR13C8	Q8NGS7	320	0
ENSG00000167014	TERB2	Q8NHR7	220	0
ENSG00000151962	RBM46	Q8TBY0	533	0
ENSG00000088280	ASAP3	Q8TDY4	903	0
ENSG00000108799	EZH1	Q92800	747	0
ENSG00000075945	KIFAP3	Q92845	792	0
ENSG00000158882	TOMM40L	Q969M1	308	0
ENSG00000180834	MAP6	Q96JE9	813	0
ENSG00000183495	EP400	Q96L91	3159	0
ENSG00000138463	SLC49A4	Q96SL1	478	0
ENSG00000168306	ACOX2	Q99424	681	0
ENSG00000008952	SEC62	Q99442	399	1
ENSG00000172613	RAD9A	Q99638	391	0
ENSG00000157551	KCNJ15	Q99712	375	0
ENSG00000129911	KLF16	Q9BXK1	252	0
ENSG00000022277	RTF2	Q9BY42	306	1
ENSG00000198271	KRTAP4-5	Q9BYR2	181	0
ENSG00000163545	NUAK2	Q9H093	628	0
ENSG00000172663	TMEM134	Q9H6X4	195	0
ENSG00000235194	PPP1R3E	Q9H7J1	279	0
ENSG00000248167	TRIM39	Q9HCM9	518	0
ENSG00000095397	WHRN	Q9P202	907	0
ENSG00000109771	LRP2BP	Q9P2M1	347	0
ENSG00000168427	KLHL3	Q9UH77	587	0
ENSG00000116285	ERRFI1	Q9UJM3	462	0
ENSG00000110107	PRPF19	Q9UMS4	504	1
ENSG00000127870	RNF6	Q9Y252	685	1
ENSG00000139131	YARS2	Q9Y2Z4	477	0
ENSG00000100612	DHRS7	Q9Y394	339	0
ENSG00000152767	FARP1	Q9Y4F1	1045	0
ENSG00000270339	PPIAL4H	A0A075B767	164	0
ENSG00000283439	SPEM3	A0A1B0GUW6	1196	0
ENSG00000269113	TRABD2B	A6NFA1	517	0
ENSG00000267041	ZNF850	A8MQ14	1090	0
ENSG00000214978	GSG1L2	A8MUP6	293	0
ENSG00000006652	IFRD1	O00458	451	1
ENSG00000142871	CCN1	O00622	381	0
ENSG00000130475	FCHO1	O14526	889	0
ENSG00000069020	MAST4	O15021	2623	0
ENSG00000171720	HDAC3	O15379	428	0
ENSG00000100196	KDELR3	O43731	214	0
ENSG00000160207	HSF2BP	O75031	334	0
ENSG00000187122	SLIT1	O75093	1534	0
ENSG00000182220	ATP6AP2	O75787	350	1
ENSG00000119760	SUPT7L	O94864	414	0
ENSG00000147475	ERLIN2	O94905	339	0
ENSG00000107317	TGDS	O95455	350	0
ENSG00000131196	NFATC1	O95644	943	0
ENSG00000101290	CDS2	O95674	445	1
ENSG00000164611	PTTG1	O95997	202	0
ENSG00000180914	OXT	P01178	125	0
ENSG00000237412	PRSS56	P0CW18	603	0
ENSG00000283093	CENPVL2	P0DPI3	272	0
ENSG00000203618	GP1BB	P13224	206	0
ENSG00000254997	KRTAP5-9	P26371	169	0
ENSG00000204231	RXRB	P28702	533	1
ENSG00000116761	CTH	P32929	405	0
ENSG00000112038	OPRM1	P35372	400	0
ENSG00000163463	CAP2	P40123	477	0
ENSG00000111445	RFC5	P40937	340	0
ENSG00000196517	SLC6A9	P48067	706	0
ENSG00000177697	CD151	P48509	253	0
ENSG00000143321	HDGF	P51858	240	0
ENSG00000139998	RAB15	P59190	212	0
ENSG00000116473	RAP1A	P62834	184	1
ENSG00000154646	TMPRSS15	P98073	1019	0
ENSG00000169031	COL4A3	Q01955	1670	0
ENSG00000185483	ROR1	Q01973	937	0
ENSG00000243646	IL10RB	Q08334	325	0
ENSG00000177731	FLII	Q13045	1269	0
ENSG00000163482	STK3	Q13188	491	0
ENSG00000013619	MAMLD1	Q13495	774	0
ENSG00000119285	ATR	Q13535	2644	0
ENSG00000136960	ENPP2	Q13822	863	0
ENSG00000174669	SLC29A2	Q14542	456	0
ENSG00000174652	ZNF266	Q14584	549	0
ENSG00000123562	MORF4L2	Q15014	288	1
ENSG00000204941	PSG5	Q15238	335	0
ENSG00000131910	NR0B2	Q15466	257	0
ENSG00000150764	DIXDC1	Q155Q3	683	0
ENSG00000175602	CCDC85B	Q15834	202	1
ENSG00000145283	SLC10A6	Q3KNW5	377	0
ENSG00000169379	ARL13B	Q3SXY8	428	0
ENSG00000204385	SLC44A4	Q53GD3	710	0
ENSG00000205413	SAMD9	Q5K651	1589	0
ENSG00000203784	LELP1	Q5T871	98	0
ENSG00000272031	ANKRD34A	Q69YU3	496	0
ENSG00000180425	C11orf71	Q6IPW1	123	0
ENSG00000185610	DBX2	Q6ZNG2	339	0
ENSG00000123552	USP45	Q70EL2	814	0
ENSG00000162951	LRRTM1	Q86UE6	522	0
ENSG00000149507	OOSP2	Q86WS3	158	0
ENSG00000132321	IQCA1	Q86XH1	822	0
ENSG00000014164	ZC3H3	Q8IXZ2	948	1
ENSG00000197658	SLC22A24	Q8N4F4	552	0
ENSG00000122824	NUDT10	Q8NFP7	164	0
ENSG00000181074	OR52N4	Q8NGI2	321	0
ENSG00000186119	OR5D18	Q8NGL1	313	0
ENSG00000170613	GARIN3	Q8TC56	605	0
ENSG00000270617	URGCP	Q8TCY9	931	0
ENSG00000241058	NSUN6	Q8TEA1	469	0
ENSG00000113391	ARB2A	Q8WUF8	416	0
ENSG00000127377	CRYGN	Q8WXF5	182	0
ENSG00000148082	SHC3	Q92529	594	0
ENSG00000134516	DOCK2	Q92608	1830	0
ENSG00000214160	ALG3	Q92685	438	0
ENSG00000033627	ATP6V0A1	Q93050	837	0
ENSG00000105877	DNAH11	Q96DT5	4516	0
ENSG00000119650	IFT43	Q96FT9	208	0
ENSG00000108465	CDK5RAP3	Q96JB5	506	0
ENSG00000162981	LRATD1	Q96KN4	292	0
ENSG00000197798	FAM118B	Q9BPY3	351	0
ENSG00000123144	TRIR	Q9BQ61	176	1
ENSG00000122378	PRXL2A	Q9BRX8	229	0
ENSG00000171944	OR52A5	Q9H2C5	316	0
ENSG00000272886	DCP1A	Q9NPI6	582	0
ENSG00000176029	C11orf16	Q9NQ32	467	0
ENSG00000126970	ZC4H2	Q9NQZ6	224	0
ENSG00000172296	SPTLC3	Q9NUV7	552	0
ENSG00000127527	EPS15L1	Q9UBC2	864	0
ENSG00000148700	ADD3	Q9UEY8	706	0
ENSG00000072657	TRHDE	Q9UKU6	1069	0
ENSG00000144635	DYNC1LI1	Q9Y6G9	523	1
ENSG00000168061	SAC3D1	A6NKF1	404	0
ENSG00000188124	OR2AG2	A6NM03	316	0
ENSG00000082074	FYB1	O15117	783	0
ENSG00000100353	EIF3D	O15371	548	1
ENSG00000131089	ARHGEF9	O43307	516	0
ENSG00000198517	MAF	O75444	373	0
ENSG00000136928	GABBR2	O75899	941	0
ENSG00000138604	GLCE	O94923	617	0
ENSG00000090020	C9	P02748	559	0
ENSG00000163399	ATP1A1	P05023	1023	0
ENSG00000284395	ERCC1	P07992	297	0
ENSG00000180720	CHRM4	P08173	479	0
ENSG00000269226	TMSB15C	P0DX04	45	0
ENSG00000114302	PRKAR2A	P13861	404	1
ENSG00000025708	TYMP	P19971	482	0
ENSG00000164187	BRD2	P25440	801	0
ENSG00000134940	ACRV1	P26436	265	0
ENSG00000102882	MAPK3	P27361	379	1
ENSG00000128271	ADORA2A	P29274	412	0
ENSG00000160683	CXCR5	P32302	372	0
ENSG00000079557	AFM	P43652	599	0
ENSG00000221869	CEBPD	P49716	269	0
ENSG00000169567	HINT1	P49773	126	1
ENSG00000006756	ARSD	P51689	593	0
ENSG00000184908	CLCNKB	P51801	687	0
ENSG00000092841	MYL6	P60660	151	1
ENSG00000135390	ATP5MC2	Q06055	141	0
ENSG00000188334	BSPH1	Q075Z2	132	0
ENSG00000096433	ITPR3	Q14573	2671	0
ENSG00000161509	GRIN2C	Q14957	1233	0
ENSG00000111300	NAA25	Q14CX7	972	0
ENSG00000184304	PRKD1	Q15139	912	0
ENSG00000273841	TAF9	Q16594	264	1
ENSG00000115977	AAK1	Q2M2I8	961	0
ENSG00000255072	PIGY	Q3MUY2	71	0
ENSG00000099910	KLHL22	Q53GT1	634	0
ENSG00000254858	MPV17L2	Q567V2	206	0
ENSG00000134326	CMPK2	Q5EBM0	449	0
ENSG00000224051	CPTP	Q5TA50	214	0
ENSG00000204021	LIPK	Q5VXJ0	399	0
ENSG00000144959	NCEH1	Q6PIU2	408	0
ENSG00000187720	THSD4	Q6ZMP0	1018	0
ENSG00000188227	ZNF793	Q6ZN11	406	0
ENSG00000168509	HJV	Q6ZVN8	426	0
ENSG00000181444	ZNF467	Q7Z7K2	595	0
ENSG00000119725	ZNF410	Q86VK4	478	0
ENSG00000186160	CYP4Z1	Q86W10	505	0
ENSG00000167654	ATCAY	Q86WG3	371	0
ENSG00000153179	RASSF3	Q86WH2	238	0
ENSG00000187105	HEATR4	Q86WZ0	1026	0
ENSG00000172780	RAB43	Q86YS6	212	0
ENSG00000168237	GLYCTK	Q8IVS8	523	0
ENSG00000167216	KATNAL2	Q8IYT4	538	0
ENSG00000178690	DYNAP	Q8N1N2	210	0
ENSG00000010165	METTL13	Q8N6R0	699	0
ENSG00000176903	PNMA1	Q8ND90	353	0
ENSG00000111644	ACRBP	Q8NEB7	543	0
ENSG00000254598	CSNK2A3	Q8NEV1	391	0
ENSG00000153237	CCDC148	Q8NFR7	591	0
ENSG00000197790	OR52M1	Q8NGK5	317	0
ENSG00000186509	OR9Q1	Q8NGQ5	310	0
ENSG00000170191	NANP	Q8TBE9	248	0
ENSG00000089847	ANKRD24	Q8TF21	1146	0
ENSG00000142459	EVI5L	Q96CN4	794	0
ENSG00000179715	PCED1B	Q96HM7	432	0
ENSG00000164265	SCGB3A2	Q96PL1	93	0
ENSG00000130513	GDF15	Q99988	308	0
ENSG00000125871	MGME1	Q9BQP7	344	0
ENSG00000172725	CORO1B	Q9BR76	489	0
ENSG00000149761	NUDT22	Q9BRQ3	303	0
ENSG00000163798	SLC4A1AP	Q9BWU0	742	1
ENSG00000166959	MS4A8	Q9BY19	250	0
ENSG00000135842	NIBAN1	Q9BZQ8	928	0
ENSG00000129749	CHRNA10	Q9GZZ6	450	0
ENSG00000138653	NDST4	Q9H3R1	872	0
ENSG00000107872	FBXL15	Q9H469	300	0
ENSG00000147206	NXF3	Q9H4D5	531	0
ENSG00000114346	ECT2	Q9H8V3	914	0
ENSG00000121064	SCPEP1	Q9HB40	452	0
ENSG00000115155	OTOF	Q9HC10	1997	0
ENSG00000109618	SEPSECS	Q9HD40	501	0
ENSG00000160216	AGPAT3	Q9NRZ7	376	1
ENSG00000138756	BMP2K	Q9NSY1	1161	0
ENSG00000242612	DECR2	Q9NUI1	292	0
ENSG00000169019	COMMD8	Q9NX08	183	0
ENSG00000143971	ETAA1	Q9NY74	926	0
ENSG00000133606	MKRN1	Q9UHC7	482	1
ENSG00000178386	ZNF223	Q9UK11	482	0
ENSG00000107882	SUFU	Q9UMX1	484	0
ENSG00000130749	ZC3H4	Q9UPT8	1303	0
ENSG00000071189	SNX13	Q9Y5W8	968	0
ENSG00000250366	TUNAR	A0A1B0GTB2	48	0
ENSG00000205116	TMEM88B	A6NKF7	163	0
ENSG00000227140	USP17L5	A8MUK1	530	0
ENSG00000224940	PRRT4	C9JH25	899	0
ENSG00000159723	AGRP	O00253	132	0
ENSG00000112337	SLC17A2	O00624	439	0
ENSG00000120868	APAF1	O14727	1248	0
ENSG00000123388	HOXC11	O43248	304	0
ENSG00000103184	SEC14L5	O43304	696	0
ENSG00000135930	EIF4E2	O60573	245	0
ENSG00000137312	FLOT1	O75955	427	0
ENSG00000085433	WDR47	O94967	919	0
ENSG00000204444	APOM	O95445	188	0
ENSG00000185479	KRT6B	P04259	564	0
ENSG00000187514	PTMA	P06454	111	1
ENSG00000115649	CNP	P09543	421	1
ENSG00000133433	GSTT2	P0CG29	244	0
ENSG00000186442	KRT3	P12035	628	0
ENSG00000009709	PAX7	P23759	505	0
ENSG00000105438	KDELR1	P24390	212	1
ENSG00000175832	ETV4	P43268	484	0
ENSG00000155380	SLC16A1	P53985	500	0
ENSG00000165795	DRG2	P55039	364	0
ENSG00000134419	RPS15A	P62244	130	1
ENSG00000148834	GSTO1	P78417	241	1
ENSG00000186487	MYT1	Q01538	1121	0
ENSG00000140743	CDR2	Q01850	454	0
ENSG00000107282	APBA1	Q02410	837	0
ENSG00000189180	ZNF33A	Q06730	810	0
ENSG00000103479	RBL2	Q08999	1139	0
ENSG00000107105	ELAVL2	Q12926	359	0
ENSG00000205268	PDE7A	Q13946	482	0
ENSG00000134594	RAB33A	Q14088	237	0
ENSG00000108852	MPP2	Q14168	576	0
ENSG00000128591	FLNC	Q14315	2725	0
ENSG00000071242	RPS6KA2	Q15349	733	0
ENSG00000135409	AMHR2	Q16671	573	0
ENSG00000177558	FAM187B	Q17R55	369	0
ENSG00000151006	PRSS53	Q2L4Q9	553	0
ENSG00000162927	PUS10	Q3MIT2	529	0
ENSG00000244362	KRTAP19-7	Q3SYF9	63	0
ENSG00000137959	IFI44L	Q53G44	452	0
ENSG00000204052	LRRC73	Q5JTD7	316	0
ENSG00000124574	ABCC10	Q5T3U5	1492	0
ENSG00000185278	ZBTB37	Q5TC79	503	0
ENSG00000134186	PRPF38B	Q5VTL8	546	1
ENSG00000128881	TTBK2	Q6IQ55	1244	0
ENSG00000158292	GPR153	Q6NV75	609	0
ENSG00000162585	FAAP20	Q6NZ36	180	0
ENSG00000165071	TMEM71	Q6P5X7	295	0
ENSG00000106993	CDC37L1	Q7L3B6	337	1
ENSG00000182853	VMO1	Q7Z5L0	202	0
ENSG00000146555	SDK1	Q7Z5N4	2213	0
ENSG00000170469	SPATA24	Q86W54	205	0
ENSG00000114744	COMMD2	Q86X83	199	0
ENSG00000164494	PDSS2	Q86YH6	399	0
ENSG00000183323	CCDC125	Q86Z20	511	0
ENSG00000183808	RBM12B	Q8IXT5	1001	0
ENSG00000182325	FBXL6	Q8N531	539	0
ENSG00000167619	TMEM145	Q8NBT3	493	0
ENSG00000049618	ARID1B	Q8NFD5	2319	0
ENSG00000171501	OR1N2	Q8NGR9	316	0
ENSG00000144136	SLC20A1	Q8WUM9	679	0
ENSG00000198881	ASB12	Q8WXK4	309	0
ENSG00000184182	UBE2F	Q969M7	185	1
ENSG00000115762	PLEKHB2	Q96CS7	222	0
ENSG00000163428	LRRC58	Q96CX6	371	0
ENSG00000089723	OTUB2	Q96DC9	234	0
ENSG00000148187	MRRF	Q96E11	262	0
ENSG00000135324	MRAP2	Q96G30	205	0
ENSG00000143340	FAM163A	Q96GL9	167	0
ENSG00000146676	PURB	Q96QR8	312	1
ENSG00000167186	COQ7	Q99807	217	0
ENSG00000130829	DUSP9	Q99956	384	0
ENSG00000087076	HSD17B14	Q9BPX1	270	0
ENSG00000114209	PDCD10	Q9BUL8	212	0
ENSG00000148335	NTMT1	Q9BV86	223	1
ENSG00000177830	CHID1	Q9BWS9	393	1
ENSG00000105427	CNFN	Q9BYD5	112	0
ENSG00000125788	DEFB126	Q9BYW3	111	0
ENSG00000152455	SUV39H2	Q9H5I1	410	0
ENSG00000106346	USP42	Q9H9J4	1324	0
ENSG00000131845	ZNF304	Q9HCX3	659	0
ENSG00000110025	SNX15	Q9NRS6	342	0
ENSG00000157191	NECAP2	Q9NVZ3	263	0
ENSG00000132423	COQ3	Q9NZJ6	369	0
ENSG00000198791	CNOT7	Q9UIV1	285	1
ENSG00000105696	TMEM59L	Q9UK28	342	0
ENSG00000163660	CCNL1	Q9UK58	526	0
ENSG00000240694	PNMA2	Q9UL42	364	0
ENSG00000137672	TRPC6	Q9Y210	931	0
ENSG00000136261	BZW2	Q9Y6E2	419	0
ENSG00000121743	GJA3	Q9Y6H8	435	0
ENSG00000260220	CCDC187	A0A096LP49	1063	0
ENSG00000283434	CSNKA2IP	A0A1B0GTH6	734	0
ENSG00000235106	BRD3OS	A0A1B0GUI7	84	0
ENSG00000204347	BTBD17	A6NE02	478	0
ENSG00000187902	SHISA7	A6NL88	538	0
ENSG00000156273	BACH1	O14867	736	0
ENSG00000180357	ZNF609	O15014	1411	0
ENSG00000186792	HYAL3	O43820	417	0
ENSG00000149150	SLC43A1	O75387	559	0
ENSG00000139547	RDH16	O75452	317	0
ENSG00000049239	H6PD	O95479	791	0
ENSG00000133703	KRAS	P01116	189	1
ENSG00000155366	RHOC	P08134	193	1
ENSG00000151552	QDPR	P09417	244	0
ENSG00000184371	CSF1	P09603	554	0
ENSG00000164032	H2AZ1	P0C0S5	128	0
ENSG00000223601	EBLN1	P0CF75	366	0
ENSG00000285720	FAM90A17	P0DV74	464	0
ENSG00000108515	ENO3	P13929	434	0
ENSG00000173614	NAT1	P18440	290	0
ENSG00000144566	RAB5A	P20339	215	1
ENSG00000141753	IGFBP4	P22692	258	0
ENSG00000197635	DPP4	P27487	766	0
ENSG00000196754	S100A2	P29034	98	0
ENSG00000163191	S100A11	P31949	105	0
ENSG00000074966	TXK	P42681	527	0
ENSG00000139679	LPAR6	P43657	344	0
ENSG00000132975	GPR12	P47775	334	0
ENSG00000139531	SUOX	P51687	545	0
ENSG00000124333	VAMP7	P51809	220	0
ENSG00000108984	MAP2K6	P52564	334	0
ENSG00000234289	H2BC12L	P57053	126	0
ENSG00000171862	PTEN	P60484	403	1
ENSG00000121957	GPSM2	P81274	684	0
ENSG00000204899	MZT1	Q08AG7	82	0
ENSG00000085840	ORC1	Q13415	861	0
ENSG00000070814	TCOF1	Q13428	1488	0
ENSG00000266412	NCOA4	Q13772	614	0
ENSG00000120063	GNA13	Q14344	377	0
ENSG00000284234	TAF11	Q15544	211	1
ENSG00000197822	OCLN	Q16625	522	0
ENSG00000180872	DEFB112	Q30KQ8	113	0
ENSG00000165972	CCDC38	Q502W7	563	0
ENSG00000174227	PIGG	Q5H8A4	983	0
ENSG00000174606	ANGEL2	Q5VTE6	544	0
ENSG00000165181	SHOC1	Q5VXU9	1444	0
ENSG00000130783	CCDC62	Q6P9F0	684	0
ENSG00000186047	DLEU7	Q6UYE1	221	0
ENSG00000189410	SH2D5	Q6ZV89	423	0
ENSG00000163689	CFAP20DC	Q6ZVT6	689	0
ENSG00000061987	MON2	Q7Z3U7	1717	0
ENSG00000123607	TTC21B	Q7Z4L5	1316	0
ENSG00000136100	VPS36	Q86VN1	386	1
ENSG00000180902	D2HGDH	Q8N465	521	0
ENSG00000178750	STX19	Q8N4C7	294	0
ENSG00000144395	CCDC150	Q8NCX0	1101	0
ENSG00000164221	CCDC112	Q8NEF3	446	0
ENSG00000171126	KCNG3	Q8TAE7	436	0
ENSG00000100439	ABHD4	Q8TB40	342	1
ENSG00000179921	GPBAR1	Q8TDU6	330	0
ENSG00000171488	LRRC8C	Q8TDW0	803	0
ENSG00000133131	MORC4	Q8TE76	937	0
ENSG00000100897	DCAF11	Q8TEB1	546	1
ENSG00000124678	TCP11	Q8WWU5	503	0
ENSG00000121022	COPS5	Q92905	334	1
ENSG00000163040	CCDC74A	Q96AQ1	378	0
ENSG00000111247	RAD51AP1	Q96B01	352	0
ENSG00000162600	OMA1	Q96E52	524	0
ENSG00000105136	ZNF419	Q96HQ0	510	0
ENSG00000111850	SMIM8	Q96KF7	97	0
ENSG00000242173	ARHGDIG	Q99819	225	0
ENSG00000261678	SCRT1	Q9BWW7	348	0
ENSG00000163145	C1QTNF7	Q9BXJ2	289	0
ENSG00000151005	TKTL2	Q9H0I9	626	0
ENSG00000126070	AGO3	Q9H9G7	860	0
ENSG00000163875	MEAF6	Q9HAF1	191	0
ENSG00000188290	HES4	Q9HCC6	221	0
ENSG00000148341	SH3GLB2	Q9NR46	395	0
ENSG00000119946	CNNM1	Q9NRU3	951	0
ENSG00000153093	ACOXL	Q9NUZ1	547	0
ENSG00000137776	SLTM	Q9NWH9	1034	1
ENSG00000005059	MCUB	Q9NWR8	336	0
ENSG00000215174	NLRP2	Q9NX02	1062	0
ENSG00000163121	EURL	Q9NYK6	297	0
ENSG00000147454	SLC25A37	Q9NYZ2	338	0
ENSG00000003096	KLHL13	Q9P2N7	655	0
ENSG00000111237	VPS29	Q9UBQ0	182	1
ENSG00000068438	FTSJ1	Q9UET6	329	0
ENSG00000187775	DNAH17	Q9UFH2	4462	0
ENSG00000050405	LIMA1	Q9UHB6	759	0
ENSG00000128510	CPA4	Q9UI42	421	0
ENSG00000047662	FAM184B	Q9ULE4	1060	0
ENSG00000167065	USP18	Q9UMW8	372	0
ENSG00000108474	PIGL	Q9Y2B2	252	0
ENSG00000186980	KRTAP23-1	A1A580	65	0
ENSG00000143575	HAX1	O00165	279	1
