Gene ID	UniProtID	Protein length	Housekeeping?
ENSG00000163545	Q9H093	628	0
ENSG00000172663	Q9H6X4	195	0
ENSG00000235194	Q9H7J1	279	0
ENSG00000226437	Q9HCM9	518	0
ENSG00000095397	Q9P202	907	0
ENSG00000109771	Q9P2M1	347	0
ENSG00000146021	Q9UH77	587	0
ENSG00000116285	Q9UJM3	462	0
ENSG00000110107	Q9UMS4	504	1
ENSG00000127870	Q9Y252	685	1
ENSG00000139131	Q9Y2Z4	477	0
ENSG00000100612	Q9Y394	339	0
ENSG00000152767	Q9Y4F1	1045	0
ENSG00000270339	A0A075B767	164	0
ENSG00000284090	A0A1B0GUW6	1196	0
ENSG00000285043	A0A2U3TZM8	278	0
ENSG00000269113	A6NFA1	517	0
ENSG00000267041	A8MQ14	1090	0
ENSG00000214978	A8MUP6	293	0
ENSG00000006652	O00458	451	1
ENSG00000142871	O00622	381	0
ENSG00000130475	O14526	889	0
ENSG00000069020	O15021	2623	0
ENSG00000171720	O15379	428	0
ENSG00000100196	O43731	214	0
ENSG00000160207	O75031	334	0
ENSG00000187122	O75093	1534	0
ENSG00000182220	O75787	350	1
ENSG00000119760	O94864	414	0
ENSG00000147475	O94905	339	0
ENSG00000088451	O95455	350	0
ENSG00000131196	O95644	943	0
ENSG00000101290	O95674	445	1
ENSG00000164611	O95997	202	0
ENSG00000101405	P01178	125	0
ENSG00000237412	P0CW18	603	0
ENSG00000283093	P0DPI3	272	0
ENSG00000203618	P13224	206	0
ENSG00000254997	P26371	169	0
ENSG00000231321	P28702	533	0
ENSG00000116761	P32929	405	0
ENSG00000112038	P35372	400	0
ENSG00000112186	P40123	477	0
ENSG00000111445	P40937	340	0
ENSG00000196517	P48067	706	0
ENSG00000177697	P48509	253	0
ENSG00000143321	P51858	240	0
ENSG00000139998	P59190	212	0
ENSG00000116473	P62834	184	1
ENSG00000154646	P98073	1019	0
ENSG00000169031	Q01955	1670	0
ENSG00000185483	Q01973	937	0
ENSG00000243646	Q08334	325	0
ENSG00000284571	Q13045	1269	0
ENSG00000104375	Q13188	491	0
ENSG00000013619	Q13495	774	0
ENSG00000175054	Q13535	2644	0
ENSG00000136960	Q13822	863	0
ENSG00000174669	Q14542	456	0
ENSG00000174652	Q14584	549	0
ENSG00000123562	Q15014	288	1
ENSG00000204941	Q15238	335	0
ENSG00000131910	Q15466	257	0
ENSG00000150764	Q155Q3	683	0
ENSG00000175602	Q15834	202	1
ENSG00000145283	Q3KNW5	377	0
ENSG00000169379	Q3SXY8	428	0
ENSG00000235336	Q53GD3	710	0
ENSG00000205413	Q5K651	1589	0
ENSG00000203784	Q5T871	98	0
ENSG00000272031	Q69YU3	496	0
ENSG00000180425	Q6IPW1	123	0
ENSG00000185610	Q6ZNG2	339	0
ENSG00000123552	Q70EL2	814	0
ENSG00000162951	Q86UE6	522	0
ENSG00000285422	Q86WS3	158	0
ENSG00000132321	Q86XH1	822	0
ENSG00000014164	Q8IXZ2	948	1
ENSG00000197658	Q8N4F4	552	0
ENSG00000122824	Q8NFP7	164	0
ENSG00000181074	Q8NGI2	321	0
ENSG00000186119	Q8NGL1	313	0
ENSG00000170613	Q8TC56	605	0
ENSG00000106608	Q8TCY9	931	0
ENSG00000241058	Q8TEA1	469	0
ENSG00000113391	Q8WUF8	416	0
ENSG00000127377	Q8WXF5	182	0
ENSG00000148082	Q92529	594	0
ENSG00000134516	Q92608	1830	0
ENSG00000214160	Q92685	438	0
ENSG00000033627	Q93050	837	0
ENSG00000105877	Q96DT5	4516	0
ENSG00000119650	Q96FT9	208	0
ENSG00000108465	Q96JB5	506	0
ENSG00000162981	Q96KN4	292	0
ENSG00000197798	Q9BPY3	351	0
ENSG00000123144	Q9BQ61	176	1
ENSG00000122378	Q9BRX8	229	0
ENSG00000171944	Q9H2C5	316	0
ENSG00000272886	Q9NPI6	582	0
ENSG00000176029	Q9NQ32	467	0
ENSG00000126970	Q9NQZ6	224	0
ENSG00000172296	Q9NUV7	552	0
ENSG00000127527	Q9UBC2	864	0
ENSG00000148700	Q9UEY8	706	0
ENSG00000072657	Q9UKU6	1069	0
ENSG00000144635	Q9Y6G9	523	1
ENSG00000188124	A6NM03	316	0
ENSG00000082074	O15117	783	0
ENSG00000100353	O15371	548	1
ENSG00000131089	O43307	516	0
ENSG00000178573	O75444	373	0
ENSG00000136928	O75899	941	0
ENSG00000138604	O94923	617	0
ENSG00000113600	P02748	559	0
ENSG00000163399	P05023	1023	0
ENSG00000012061	P07992	297	0
ENSG00000180720	P08173	479	0
ENSG00000158427	P0DX04	45	0
ENSG00000114302	P13861	404	1
ENSG00000025708	P19971	482	0
ENSG00000234704	P25440	801	0
ENSG00000134940	P26436	265	0
ENSG00000102882	P27361	379	1
ENSG00000128271	P29274	412	0
ENSG00000160683	P32302	372	0
ENSG00000079557	P43652	599	0
ENSG00000221869	P49716	269	0
ENSG00000169567	P49773	126	1
ENSG00000006756	P51689	593	0
ENSG00000184908	P51801	687	0
ENSG00000092841	P60660	151	1
ENSG00000135390	Q06055	141	0
ENSG00000188334	Q075Z2	132	0
ENSG00000096433	Q14573	2671	0
ENSG00000161509	Q14957	1233	0
ENSG00000111300	Q14CX7	972	0
ENSG00000184304	Q15139	912	0
ENSG00000276463	Q16594	264	0
ENSG00000115977	Q2M2I8	961	0
ENSG00000255072	Q3MUY2	71	0
ENSG00000099910	Q53GT1	634	0
ENSG00000254858	Q567V2	206	0
ENSG00000134326	Q5EBM0	449	0
ENSG00000224051	Q5TA50	214	0
ENSG00000204021	Q5VXJ0	399	0
ENSG00000144959	Q6PIU2	408	0
ENSG00000187720	Q6ZMP0	1018	0
ENSG00000188227	Q6ZN11	406	0
ENSG00000168509	Q6ZVN8	426	0
ENSG00000181444	Q7Z7K2	595	0
ENSG00000119725	Q86VK4	478	0
ENSG00000186160	Q86W10	505	0
ENSG00000167654	Q86WG3	371	0
ENSG00000153179	Q86WH2	238	0
ENSG00000187105	Q86WZ0	1026	0
ENSG00000172780	Q86YS6	212	0
ENSG00000168237	Q8IVS8	523	0
ENSG00000167216	Q8IYT4	538	0
ENSG00000178690	Q8N1N2	210	0
ENSG00000010165	Q8N6R0	699	0
ENSG00000176903	Q8ND90	353	0
ENSG00000111644	Q8NEB7	543	0
ENSG00000254598	Q8NEV1	391	0
ENSG00000153237	Q8NFR7	591	0
ENSG00000197790	Q8NGK5	317	0
ENSG00000186509	Q8NGQ5	310	0
ENSG00000170191	Q8TBE9	248	0
ENSG00000089847	Q8TF21	1146	0
ENSG00000142459	Q96CN4	794	0
ENSG00000179715	Q96HM7	432	0
ENSG00000164265	Q96PL1	93	0
ENSG00000130513	Q99988	308	0
ENSG00000125871	Q9BQP7	344	0
ENSG00000172725	Q9BR76	489	0
ENSG00000149761	Q9BRQ3	303	0
ENSG00000182795	Q9BW04	601	0
ENSG00000163798	Q9BWU0	742	1
ENSG00000166959	Q9BY19	250	0
ENSG00000135842	Q9BZQ8	928	0
ENSG00000129749	Q9GZZ6	450	0
ENSG00000138653	Q9H3R1	872	0
ENSG00000107872	Q9H469	300	0
ENSG00000147206	Q9H4D5	531	0
ENSG00000114346	Q9H8V3	914	0
ENSG00000121064	Q9HB40	452	0
ENSG00000115155	Q9HC10	1997	0
ENSG00000109618	Q9HD40	501	0
ENSG00000160216	Q9NRZ7	376	1
ENSG00000138756	Q9NSY1	1161	0
ENSG00000274296	Q9NUI1	292	0
ENSG00000169019	Q9NX08	183	0
ENSG00000143971	Q9NY74	926	0
ENSG00000133606	Q9UHC7	482	1
ENSG00000178386	Q9UK11	482	0
ENSG00000107882	Q9UMX1	484	0
ENSG00000130749	Q9UPT8	1303	0
ENSG00000071189	Q9Y5W8	968	0
ENSG00000250366	A0A1B0GTB2	48	0
ENSG00000205116	A6NKF7	163	0
ENSG00000227140	A8MUK1	530	0
ENSG00000224940	C9JH25	899	0
ENSG00000159723	O00253	132	0
ENSG00000112337	O00624	439	0
ENSG00000120868	O14727	1248	0
ENSG00000123388	O43248	304	0
ENSG00000103184	O43304	696	0
ENSG00000135930	O60573	245	0
ENSG00000137312	O75955	427	0
ENSG00000085433	O94967	919	0
ENSG00000204444	O95445	188	0
ENSG00000185479	P04259	564	0
ENSG00000187514	P06454	111	1
ENSG00000173786	P09543	421	1
ENSG00000277897	P0CG29	244	0
ENSG00000186442	P12035	628	0
ENSG00000009709	P23759	505	0
ENSG00000105438	P24390	212	1
ENSG00000175832	P43268	484	0
ENSG00000281917	P53985	500	0
ENSG00000108591	P55039	364	0
ENSG00000134419	P62244	130	1
ENSG00000148834	P78417	241	1
ENSG00000276876	Q01538	1121	0
ENSG00000140743	Q01850	454	0
ENSG00000107282	Q02410	837	0
ENSG00000189180	Q06730	810	0
ENSG00000103479	Q08999	1139	0
ENSG00000107105	Q12926	359	0
ENSG00000205268	Q13946	482	0
ENSG00000134594	Q14088	237	0
ENSG00000108852	Q14168	576	0
ENSG00000128591	Q14315	2725	0
ENSG00000071242	Q15349	733	0
ENSG00000135409	Q16671	573	0
ENSG00000177558	Q17R55	369	0
ENSG00000151006	Q2L4Q9	553	0
ENSG00000162927	Q3MIT2	529	0
ENSG00000244362	Q3SYF9	63	0
ENSG00000137959	Q53G44	452	0
ENSG00000204052	Q5JTD7	316	0
ENSG00000124574	Q5T3U5	1492	0
ENSG00000185278	Q5TC79	503	0
ENSG00000134186	Q5VTL8	546	1
ENSG00000128881	Q6IQ55	1244	0
ENSG00000277005	Q6JHZ5	121	0
ENSG00000158292	Q6NV75	609	0
ENSG00000162585	Q6NZ36	180	0
ENSG00000165071	Q6P5X7	295	0
ENSG00000106993	Q7L3B6	337	1
ENSG00000182853	Q7Z5L0	202	0
ENSG00000146555	Q7Z5N4	2213	0
ENSG00000170469	Q86W54	205	0
ENSG00000114744	Q86X83	199	0
ENSG00000164494	Q86YH6	399	0
ENSG00000277868	Q86Z20	511	0
ENSG00000183808	Q8IXT5	1001	0
ENSG00000285442	Q8N531	539	0
ENSG00000167619	Q8NBT3	493	0
ENSG00000049618	Q8NFD5	2319	0
ENSG00000144136	Q8WUM9	679	0
ENSG00000198881	Q8WXK4	309	0
ENSG00000184182	Q969M7	185	1
ENSG00000115762	Q96CS7	222	0
ENSG00000163428	Q96CX6	371	0
ENSG00000277276	Q96DC9	234	0
ENSG00000148187	Q96E11	262	0
ENSG00000135324	Q96G30	205	0
ENSG00000143340	Q96GL9	167	0
ENSG00000146676	Q96QR8	312	1
ENSG00000167186	Q99807	217	0
ENSG00000130829	Q99956	384	0
ENSG00000087076	Q9BPX1	270	0
ENSG00000114209	Q9BUL8	212	0
ENSG00000148335	Q9BV86	223	1
ENSG00000177830	Q9BWS9	393	1
ENSG00000105427	Q9BYD5	112	0
ENSG00000125788	Q9BYW3	111	0
ENSG00000152455	Q9H5I1	410	0
ENSG00000106346	Q9H9J4	1324	0
ENSG00000131845	Q9HCX3	659	0
ENSG00000110025	Q9NRS6	342	0
ENSG00000157191	Q9NVZ3	263	0
ENSG00000132423	Q9NZJ6	369	0
ENSG00000198791	Q9UIV1	285	1
ENSG00000105696	Q9UK28	342	0
ENSG00000163660	Q9UK58	526	0
ENSG00000240694	Q9UL42	364	0
ENSG00000137672	Q9Y210	931	0
ENSG00000136261	Q9Y6E2	419	0
ENSG00000121743	Q9Y6H8	435	0
ENSG00000260220	A0A096LP49	1063	0
ENSG00000283434	A0A1B0GTH6	734	0
ENSG00000235106	A0A1B0GUI7	84	0
ENSG00000204347	A6NE02	478	0
ENSG00000187902	A6NL88	538	0
ENSG00000156273	O14867	736	0
ENSG00000180357	O15014	1411	0
ENSG00000186792	O43820	417	0
ENSG00000149150	O75387	559	0
ENSG00000139547	O75452	317	0
ENSG00000049239	O95479	791	0
ENSG00000133703	P01116	189	1
ENSG00000155366	P08134	193	1
ENSG00000151552	P09417	244	0
ENSG00000184371	P09603	554	0
ENSG00000164032	P0C0S5	128	0
ENSG00000223601	P0CF75	366	0
ENSG00000285720	P0DV74	464	0
ENSG00000108515	P13929	434	0
ENSG00000171428	P18440	290	0
ENSG00000144566	P20339	215	1
ENSG00000141753	P22692	258	0
ENSG00000197635	P27487	766	0
ENSG00000196754	P29034	98	0
ENSG00000163191	P31949	105	0
ENSG00000074966	P42681	527	0
ENSG00000139679	P43657	344	0
ENSG00000132975	P47775	334	0
ENSG00000139531	P51687	545	0
ENSG00000124333	P51809	220	0
ENSG00000108984	P52564	334	0
ENSG00000234289	P57053	126	0
ENSG00000171862	P60484	403	1
ENSG00000121957	P81274	684	0
ENSG00000204899	Q08AG7	82	0
ENSG00000085840	Q13415	861	0
ENSG00000070814	Q13428	1488	0
ENSG00000266412	Q13772	614	0
ENSG00000120063	Q14344	377	0
ENSG00000064995	Q15544	211	1
ENSG00000197822	Q16625	522	0
ENSG00000165972	Q502W7	563	0
ENSG00000174227	Q5H8A4	983	0
ENSG00000174606	Q5VTE6	544	0
ENSG00000165181	Q5VXU9	1444	0
ENSG00000130783	Q6P9F0	684	0
ENSG00000186047	Q6UYE1	221	0
ENSG00000189410	Q6ZV89	423	0
ENSG00000163689	Q6ZVT6	689	0
ENSG00000061987	Q7Z3U7	1717	0
ENSG00000123607	Q7Z4L5	1316	0
ENSG00000136100	Q86VN1	386	1
ENSG00000180902	Q8N465	521	0
ENSG00000178750	Q8N4C7	294	0
ENSG00000144395	Q8NCX0	1101	0
ENSG00000164221	Q8NEF3	446	0
ENSG00000171126	Q8TAE7	436	0
ENSG00000100439	Q8TB40	342	1
ENSG00000179921	Q8TDU6	330	0
ENSG00000171488	Q8TDW0	803	0
ENSG00000133131	Q8TE76	937	0
ENSG00000284796	Q8TEB1	546	0
ENSG00000124678	Q8WWU5	503	0
ENSG00000121022	Q92905	334	1
ENSG00000163040	Q96AQ1	378	0
ENSG00000111247	Q96B01	352	0
ENSG00000162600	Q96E52	524	0
ENSG00000105136	Q96HQ0	510	0
ENSG00000111850	Q96KF7	97	0
ENSG00000242173	Q99819	225	0
ENSG00000284923	Q9BWW7	348	0
ENSG00000163145	Q9BXJ2	289	0
ENSG00000151005	Q9H0I9	626	0
ENSG00000126070	Q9H9G7	860	0
ENSG00000163875	Q9HAF1	191	0
ENSG00000188290	Q9HCC6	221	0
ENSG00000148341	Q9NR46	395	0
ENSG00000119946	Q9NRU3	951	0
ENSG00000153093	Q9NUZ1	547	0
ENSG00000137776	Q9NWH9	1034	1
ENSG00000005059	Q9NWR8	336	0
ENSG00000274638	Q9NX02	1062	0
ENSG00000154642	Q9NYK6	297	0
ENSG00000147454	Q9NYZ2	338	0
ENSG00000003096	Q9P2N7	655	0
ENSG00000111237	Q9UBQ0	182	1
ENSG00000068438	Q9UET6	329	0
ENSG00000187775	Q9UFH2	4462	0
ENSG00000050405	Q9UHB6	759	0
ENSG00000128510	Q9UI42	421	0
ENSG00000047662	Q9ULE4	1060	0
ENSG00000184979	Q9UMW8	372	0
ENSG00000108474	Q9Y2B2	252	0
ENSG00000186980	A1A580	65	0
ENSG00000143575	O00165	279	1
ENSG00000099821	O00411	1230	0
ENSG00000152952	O00469	737	0
ENSG00000094755	O00591	440	0
ENSG00000002587	O14792	307	0
ENSG00000168016	O15050	2925	0
ENSG00000167642	O43291	252	0
ENSG00000144028	O75643	2136	0
ENSG00000137094	O75953	348	0
ENSG00000133816	O94851	1957	0
ENSG00000141013	O95995	478	0
ENSG00000292247	P0C629	311	0
ENSG00000155026	P0C881	870	0
ENSG00000175592	P15407	271	0
ENSG00000109320	P19838	968	0
ENSG00000128040	P20155	84	0
ENSG00000168118	P20338	218	1
ENSG00000197408	P20813	491	0
ENSG00000099624	P30049	168	1
ENSG00000143556	P31151	101	0
ENSG00000162735	P40855	299	0
ENSG00000118194	P45379	298	0
ENSG00000241837	P48047	213	1
ENSG00000275903	P49720	205	0
ENSG00000188783	P51888	382	0
ENSG00000139515	P52945	283	0
ENSG00000173805	P54257	671	0
ENSG00000004455	P54819	239	1
ENSG00000131408	P55055	460	1
ENSG00000115318	P58215	753	0
ENSG00000186367	P59773	190	0
ENSG00000186654	P85299	388	0
ENSG00000204918	P86481	221	0
ENSG00000169594	Q01954	994	0
ENSG00000136750	Q05329	585	0
ENSG00000030066	Q12769	1436	0
ENSG00000056558	Q13077	416	0
ENSG00000198216	Q15878	2313	0
ENSG00000074317	Q16143	134	0
ENSG00000165046	Q2VYF4	491	0
ENSG00000163945	Q2YD98	709	0
ENSG00000107938	Q3B7T1	1238	0
ENSG00000106125	Q4G0A6	757	0
ENSG00000204006	Q5T7R7	199	0
ENSG00000186207	Q5TCM9	118	0
ENSG00000182685	Q6PL45	260	0
ENSG00000186417	Q6ZMI3	551	0
ENSG00000143970	Q76L83	1435	0
ENSG00000131969	Q7Z5M8	362	0
ENSG00000170743	Q86SS6	491	0
ENSG00000164484	Q86VY9	491	0
ENSG00000133812	Q86WG5	1849	0
ENSG00000182010	Q8IZC4	609	0
ENSG00000197110	Q8IZI9	196	0
ENSG00000079313	Q8N1G1	1221	1
ENSG00000165905	Q8N3Y3	721	0
ENSG00000180878	Q8N5U0	333	0
ENSG00000137494	Q8N9B4	389	0
ENSG00000281245	Q8NE28	680	0
ENSG00000230301	Q8NGV6	325	0
ENSG00000262755	Q8NH51	312	0
ENSG00000123094	Q8NHQ8	419	0
ENSG00000124177	Q8TD26	2715	0
ENSG00000163312	Q8TDG4	1101	0
ENSG00000017483	Q8WUX1	472	0
ENSG00000213203	Q8WWP7	306	0
ENSG00000146809	Q8WXK1	588	0
ENSG00000173457	Q96C90	147	1
ENSG00000152475	Q96EG3	531	0
ENSG00000196544	Q96GS4	357	0
ENSG00000154102	Q96GX8	76	0
ENSG00000168517	Q96MH2	286	0
ENSG00000125967	Q96P71	396	0
ENSG00000112851	Q96RT1	1412	0
ENSG00000125149	Q9BSU1	422	1
ENSG00000147099	Q9BY41	377	0
ENSG00000244537	Q9BYR5	136	0
ENSG00000112983	Q9H0E9	1235	0
ENSG00000177283	Q9H461	694	0
ENSG00000110013	Q9HAT2	523	0
ENSG00000070785	Q9NR50	452	1
ENSG00000178188	Q9NRF2	756	1
ENSG00000010319	Q9NS98	782	0
ENSG00000213689	Q9NSU2	314	0
ENSG00000130943	Q9NTG1	2253	0
ENSG00000083099	Q9NU23	88	0
ENSG00000094975	Q9UBS9	1254	0
ENSG00000100207	Q9UGU0	1960	0
ENSG00000276644	Q9UI36	758	0
ENSG00000113100	Q9ULB4	789	0
ENSG00000125991	Q9Y282	383	1
ENSG00000058063	Q9Y2G3	1177	0
ENSG00000004142	Q9Y2S7	368	0
ENSG00000122965	Q9Y4C8	960	0
ENSG00000253873	Q9Y5H2	935	0
ENSG00000284283	A0A1W2PPE2	198	0
ENSG00000284701	A6NEH6	219	0
ENSG00000233136	C9JVI0	530	0
ENSG00000170959	M0R2J8	1783	0
ENSG00000176771	O14513	1909	0
ENSG00000102104	O15537	224	0
ENSG00000099957	O15547	441	0
ENSG00000162630	O43825	422	0
ENSG00000174446	O75971	98	0
ENSG00000181418	O94850	711	0
ENSG00000112208	O95816	211	0
ENSG00000138135	O95992	272	0
ENSG00000091513	P02787	698	0
ENSG00000198888	P03886	318	0
ENSG00000278463	P04908	130	0
ENSG00000113520	P05112	153	0
ENSG00000119699	P10600	412	0
ENSG00000168291	P11177	359	0
ENSG00000124575	P16402	221	0
ENSG00000109472	P16870	476	0
ENSG00000140105	P23381	471	0
ENSG00000123364	P31276	330	0
ENSG00000106304	P38567	509	0
ENSG00000151503	P42695	1498	0
ENSG00000105835	P43490	491	0
ENSG00000165637	P45880	294	0
ENSG00000138185	P49961	510	0
ENSG00000160791	P51681	352	0
ENSG00000047597	P51811	444	0
ENSG00000243364	P52798	201	0
ENSG00000100479	P56282	527	0
ENSG00000109991	P56373	397	0
ENSG00000112149	Q01151	205	0
ENSG00000135929	Q02318	531	0
ENSG00000124766	Q06945	474	0
ENSG00000172478	Q08AI8	447	0
ENSG00000156113	Q12791	1236	0
ENSG00000205944	Q13117	558	0
ENSG00000149792	Q13405	166	1
ENSG00000104522	Q13630	321	1
ENSG00000120899	Q14289	1009	0
ENSG00000115839	Q15042	981	1
ENSG00000171246	Q15818	432	0
ENSG00000130244	Q17RN3	349	0
ENSG00000070476	Q2QGD7	858	0
ENSG00000170298	Q3B8N2	356	0
ENSG00000106565	Q3YBM2	270	0
ENSG00000254402	Q50LG9	513	0
ENSG00000173809	Q587J7	1177	0
ENSG00000163749	Q5M9N0	1113	0
ENSG00000176399	Q5VZB9	504	0
ENSG00000213047	Q6P3S1	775	0
ENSG00000137941	Q6ZT98	887	0
ENSG00000196932	Q6ZUK4	368	0
ENSG00000175137	Q7L8J4	393	0
ENSG00000180479	Q7Z3V5	609	0
ENSG00000063761	Q86TW2	530	0
ENSG00000119227	Q86VD9	579	0
ENSG00000174898	Q86XM0	798	0
ENSG00000276276	Q8IVW1	177	0
ENSG00000181392	Q8N205	404	0
ENSG00000250317	Q8N5G0	67	0
ENSG00000154240	Q8N8E3	955	0
ENSG00000130544	Q8N988	423	0
ENSG00000166323	Q8NCR3	313	0
ENSG00000259956	Q8NDT2	890	0
ENSG00000274669	Q8NHL6	650	0
ENSG00000175121	Q8TCV5	224	0
ENSG00000131013	Q8WUA2	492	1
ENSG00000172594	Q92484	453	0
ENSG00000126749	Q92979	244	0
ENSG00000135119	Q96EX2	444	0
ENSG00000198824	Q96JM3	812	0
ENSG00000169871	Q9BRZ2	755	0
