Gene ID	Transcript ID	Gene Name	RefSeq	CCDS ID
ENSG00000099804	ENST00000215574	CDC34	NM_004359	CCDS12030
ENSG00000099940	ENST00000215730	SNAP29	NM_004782	CCDS13784
ENSG00000240972	ENST00000215754	MIF	NM_002415	CCDS13819
ENSG00000100028	ENST00000215829	SNRPD3	"NM_001278656; NM_004175"	CCDS13828
ENSG00000100030	ENST00000215832	MAPK1	NM_002745	CCDS13795
ENSG00000100211	ENST00000216029	CBY1	NM_015373	CCDS13974
ENSG00000100216	ENST00000216034	TOMM22	NM_020243	CCDS13975
ENSG00000100220	ENST00000216038	RTCB	NM_014306	CCDS13905
ENSG00000100221	ENST00000216039	JOSD1	"NM_001360235; NM_014876; NM_001360236"	CCDS13976
ENSG00000100226	ENST00000216044	GTPBP1	NM_004286	CCDS13977
ENSG00000100324	ENST00000216160	TAB1	NM_006116	CCDS13993
ENSG00000100345	ENST00000216181	MYH9	NM_002473	CCDS13927
ENSG00000100348	ENST00000216185	TXN2	NM_012473	CCDS13928
ENSG00000100353	ENST00000216190	EIF3D	NM_003753	CCDS13930
ENSG00000100380	ENST00000216218	ST13	"NM_001278589; NM_003932"	CCDS14006
ENSG00000100387	ENST00000216225	RBX1	NM_014248	CCDS14009
ENSG00000100410	ENST00000216252	PHF5A	NM_032758	CCDS14016
ENSG00000100417	ENST00000216259	PMM1	NM_002676	CCDS14020
ENSG00000100422	ENST00000216264	CERK	NM_022766	CCDS14077
ENSG00000090060	ENST00000216277	PAPOLA	"NM_032632; NM_001293627"	CCDS9946
ENSG00000100485	ENST00000216373	SOS2	NM_006939	CCDS9697
ENSG00000100564	ENST00000216452	PIGH	"NM_001363694; NM_004569"	CCDS9784
ENSG00000100567	ENST00000216455	PSMA3	NM_002788	CCDS9731
ENSG00000100591	ENST00000216479	AHSA1	NM_012111	CCDS9863
ENSG00000100836	ENST00000216727	PABPN1	NM_004643	CCDS9592
ENSG00000100911	ENST00000216802	PSME2	NM_002818	CCDS9614
ENSG00000100941	ENST00000216832	PNN	NM_002687	CCDS9671
ENSG00000101160	ENST00000217131	CTSZ	NM_001336	CCDS13474
ENSG00000101421	ENST00000217402	CHMP4B	NM_176812	CCDS13228
ENSG00000101444	ENST00000217426	AHCY	NM_000687	CCDS13233
ENSG00000101608	ENST00000217652	MYL12A	NM_006471	CCDS11830
ENSG00000273841	ENST00000217893	TAF9	NM_003187	CCDS4002
ENSG00000067829	ENST00000217901	IDH3G	NM_004135	CCDS14730
ENSG00000101843	ENST00000217958	PSMD10	NM_002814	CCDS14536
ENSG00000101856	ENST00000217971	PGRMC1	NM_006667	CCDS14576
ENSG00000101940	ENST00000218056	WDR13	"NM_017883; NM_001347219; NM_001166426"	CCDS14302
ENSG00000102226	ENST00000218348	USP11	NM_004651	CCDS14277
ENSG00000102241	ENST00000218364	HTATSF1	NM_014500	CCDS14657
ENSG00000125149	ENST00000219139	C16orf70	"NM_001320541; NM_001320543; NM_001320542; NM_001320540; NM_025187"	CCDS10828
ENSG00000102931	ENST00000219204	ARL2BP	NM_012106	CCDS10776
ENSG00000102978	ENST00000219252	POLR2C	NM_032940	CCDS10782
ENSG00000103005	ENST00000219281	USB1	NM_024598	CCDS10791
ENSG00000103035	ENST00000219313	PSMD7	NM_002811	CCDS10910
ENSG00000103066	ENST00000219345	PLA2G15	NM_012320	CCDS10864
ENSG00000103266	ENST00000219548	STUB1	NM_005861	CCDS10419
ENSG00000103495	ENST00000219782	MAZ	NM_001042539	CCDS42144
ENSG00000103502	ENST00000219789	CDIPT	NM_006319	CCDS10657
ENSG00000103507	ENST00000219794	BCKDK	NM_005881	CCDS10705
ENSG00000103510	ENST00000219797	KAT8	NM_032188	CCDS10706
ENSG00000104221	ENST00000220659	BRF2	NM_018310	CCDS6098
ENSG00000104408	ENST00000220849	EIF3E	NM_001568	CCDS6308
ENSG00000104412	ENST00000220853	EMC2	"NM_001329495; NM_001329493; NM_014673"	CCDS6309
ENSG00000104671	ENST00000221114	DCTN6	NM_006571	CCDS6076
ENSG00000104695	ENST00000221138	PPP2CB	NM_001009552	CCDS6079
ENSG00000104756	ENST00000221200	KCTD9	NM_017634	CCDS6048
ENSG00000006712	ENST00000221265	PAF1	NM_019088	CCDS12533
ENSG00000104823	ENST00000221418	ECH1	NM_001398	CCDS33014
ENSG00000104852	ENST00000221448	SNRNP70	NM_001301069	CCDS74417
ENSG00000104866	ENST00000221462	PPP1R37	NM_019121	CCDS56096
ENSG00000104897	ENST00000221494	SF3A2	NM_007165	CCDS12084
ENSG00000104964	ENST00000221561	AES	NM_198969	CCDS12101
ENSG00000104969	ENST00000221566	SGTA	NM_003021	CCDS12094
ENSG00000179943	ENST00000221665	FIZ1	NM_032836	CCDS12928
ENSG00000105202	ENST00000221801	FBL	NM_001436	CCDS12545
ENSG00000105258	ENST00000221859	POLR2I	NM_006233	CCDS12487
ENSG00000105321	ENST00000221922	CCDC9	NM_015603	CCDS12698
ENSG00000105372	ENST00000221975	RPS19	NA	
ENSG00000105401	ENST00000222005	CDC37	NM_007065	CCDS12237
ENSG00000105404	ENST00000222008	RABAC1	NM_006423	CCDS12593
ENSG00000105583	ENST00000222190	WDR83OS	NA	
ENSG00000105612	ENST00000222219	DNASE2	NM_001375	CCDS12284
ENSG00000105617	ENST00000222224	LENG1	NM_024316	CCDS12881
ENSG00000105640	ENST00000222247	RPL18A	NM_000980	CCDS12367
ENSG00000105677	ENST00000222284	TMEM147	"NM_001242598; NM_032635"	CCDS12466
ENSG00000105698	ENST00000222305	USF2	NM_003367	CCDS12452
ENSG00000105700	ENST00000222307	KXD1	NM_024069	CCDS12381
ENSG00000105701	ENST00000222308	FKBP8	NM_001308373	CCDS77266
ENSG00000105723	ENST00000222330	GSK3A	NM_019884	CCDS12599
ENSG00000105953	ENST00000222673	OGDH	NM_002541	CCDS34627
ENSG00000105968	ENST00000222690	H2AFV	NM_138635	CCDS5495
ENSG00000106245	ENST00000222969	BUD31	NM_003910	CCDS5663
ENSG00000106299	ENST00000223023	WASL	NM_003941	CCDS34743
ENSG00000106397	ENST00000223127	PLOD3	NM_001084	CCDS5715
ENSG00000214253	ENST00000223136	FIS1	NM_016068	CCDS43626
ENSG00000106588	ENST00000223321	PSMA2	NM_002787	CCDS5467
ENSG00000106591	ENST00000223324	MRPL32	NM_031903	CCDS5468
ENSG00000106636	ENST00000223369	YKT6	NM_006555	CCDS5482
ENSG00000086065	ENST00000223500	CHMP5	NM_016410	CCDS6537
ENSG00000106803	ENST00000223641	SEC61B	NM_006808	CCDS6741
ENSG00000107223	ENST00000224073	EDF1	"NM_001281298; NM_001281299; NM_003792"	CCDS7011
ENSG00000011260	ENST00000225298	UTP18	NM_016001	CCDS42362
ENSG00000108256	ENST00000225388	NUFIP2	NM_020772	CCDS32600
ENSG00000108298	ENST00000225430	RPL19	NM_000981	CCDS42312
ENSG00000213246	ENST00000225504	SUPT4H1	NM_003168	CCDS11606
ENSG00000213977	ENST00000225525	TAX1BP3	NM_014604	CCDS11032
ENSG00000108468	ENST00000225603	CBX1	NM_001127228	CCDS11525
ENSG00000108518	ENST00000225655	PFN1	NM_005022	CCDS11061
ENSG00000108528	ENST00000225665	SLC25A11	NM_003562	CCDS11059
ENSG00000108588	ENST00000225726	CCDC47	NM_020198	CCDS11643
ENSG00000108599	ENST00000225737	AKAP10	NM_007202	CCDS11214
ENSG00000108829	ENST00000225972	LRRC59	NM_018509	CCDS11566
ENSG00000109079	ENST00000226225	TNFAIP1	NM_021137	CCDS11227
ENSG00000109536	ENST00000226798	FRG1	NM_004477	CCDS34121
ENSG00000110107	ENST00000227524	PRPF19	NM_014502	CCDS7995
ENSG00000110700	ENST00000228140	RPS13	NA	
ENSG00000075856	ENST00000228284	SART3	NA	
ENSG00000110851	ENST00000228437	PRDM4	NM_012406	CCDS9115
ENSG00000110906	ENST00000228495	KCTD10	"NM_001317399; NM_001317395; NM_031954"	CCDS9128
ENSG00000110917	ENST00000228506	MLEC	NM_014730	CCDS9206
ENSG00000110925	ENST00000228515	CSRNP2	NM_030809	CCDS8807
ENSG00000111229	ENST00000228825	ARPC3	"NM_001278556; NM_001287222"	CCDS9146
ENSG00000111231	ENST00000228827	GPN3	NM_016301	CCDS9147
ENSG00000111276	ENST00000228872	CDKN1B	NM_004064	CCDS8653
ENSG00000111639	ENST00000229238	MRPL51	NM_016497	CCDS8547
ENSG00000111640	ENST00000229239	GAPDH	"NM_001357943; NM_002046"	CCDS8549
ENSG00000111678	ENST00000229281	C12orf57	"NM_001301834; NM_138425"	CCDS8571
ENSG00000111726	ENST00000229329	CMAS	NM_018686	CCDS8696
ENSG00000111737	ENST00000229340	RAB35	NM_006861	CCDS41846
ENSG00000111775	ENST00000229379	COX6A1	NM_004373	CCDS9197
ENSG00000111786	ENST00000229390	SRSF9	NM_003769	CCDS9199
ENSG00000111843	ENST00000229563	TMEM14C	NM_016462	CCDS4514
ENSG00000111911	ENST00000229633	HINT3	NM_138571	CCDS5133
ENSG00000112079	ENST00000229812	STK38	"NM_001305102; NM_007271"	CCDS4822
ENSG00000112118	ENST00000229854	MCM3	NM_001270472	CCDS75468
ENSG00000112306	ENST00000230050	RPS12	NM_001016	CCDS5164
ENSG00000112335	ENST00000230085	SNX3	"NM_001300928; NM_003795"	CCDS5064
ENSG00000112667	ENST00000230431	DNPH1	NM_006443	CCDS4891
ENSG00000112685	ENST00000230449	EXOC2	NM_018303	CCDS34327
ENSG00000112697	ENST00000230461	TMEM30A	NM_018247	CCDS4983
ENSG00000039123	ENST00000230640	MTREX	NM_015360	CCDS3967
ENSG00000112941	ENST00000230859	TENT4A	NM_006999	
ENSG00000112977	ENST00000230895	DAP	NM_004394	CCDS3880
ENSG00000113312	ENST00000231238	TTC1	NM_003314	CCDS4348
ENSG00000113583	ENST00000231512	C5orf15	NM_020199	CCDS4167
ENSG00000114023	ENST00000232125	FAM162A	NA	
ENSG00000114383	ENST00000232496	TUSC2	NM_007275	CCDS2819
ENSG00000114767	ENST00000232888	RRP9	NM_004704	CCDS2837
ENSG00000114784	ENST00000232905	EIF1B	NM_005875	CCDS2690
ENSG00000085449	ENST00000233055	WDFY1	NM_020830	CCDS33387
ENSG00000079785	ENST00000233084	DDX1	NM_004939	CCDS1686
ENSG00000034510	ENST00000233143	TMSB10	NM_021103	CCDS1970
ENSG00000115274	ENST00000233331	INO80B	NM_031288	CCDS1942
ENSG00000115128	ENST00000233468	SF3B6	NM_016047	CCDS1707
ENSG00000115216	ENST00000233557	NRBP1	NM_001321357	CCDS1753
ENSG00000115234	ENST00000233575	SNX17	"NM_001267059; NM_001267061; NM_014748"	CCDS1750
ENSG00000115268	ENST00000233609	RPS15	NA	
ENSG00000115541	ENST00000233893	HSPE1	NM_002157	CCDS2320
ENSG00000115806	ENST00000234160	GORASP2	"NM_001201428; NM_015530"	CCDS33325
ENSG00000115816	ENST00000234170	CEBPZ	NM_005760	CCDS1787
ENSG00000115944	ENST00000234301	COX7A2L	"NM_004718; NM_001319040"	CCDS1808
ENSG00000074800	ENST00000234590	ENO1	"NM_001428; NM_001201483"	CCDS97
ENSG00000031698	ENST00000234677	SARS	NM_006513	CCDS795
ENSG00000116209	ENST00000234831	TMEM59	"NM_004872; NM_001305043"	CCDS586
ENSG00000116251	ENST00000234875	RPL22	NM_000983	CCDS58
ENSG00000116688	ENST00000235329	MFN2	NM_014874	CCDS30587
ENSG00000116691	ENST00000235332	MIIP	NM_021933	CCDS143
ENSG00000053371	ENST00000235835	AKR7A2	NM_003689	CCDS194
ENSG00000117395	ENST00000236051	EBNA1BP2	NM_006824	CCDS478
ENSG00000117410	ENST00000236067	ATP6V0B	NM_001039457	CCDS41315
ENSG00000117614	ENST00000236273	SYF2	NM_015484	CCDS259
ENSG00000117984	ENST00000236671	CTSD	NM_001909	CCDS7725
ENSG00000114942	ENST00000236957	EEF1B2	NM_021121	CCDS2367
ENSG00000118579	ENST00000237380	MED28	NM_025205	CCDS33963
ENSG00000118680	ENST00000237500	MYL12B	NM_033546	CCDS11831
ENSG00000118705	ENST00000237530	RPN2	"NM_001324305; NM_001324303; NM_001324302; NM_002951"	CCDS13291
ENSG00000118816	ENST00000237654	CCNI	"NM_006835; NM_001348134; NM_001348132; NM_001348136; NM_001348137; NM_001348138; NM_001348135; NM_001348140; NM_001348133"	CCDS3580
ENSG00000119013	ENST00000237889	NDUFB3	NM_002491	CCDS2336
ENSG00000134308	ENST00000238081	YWHAQ	NM_006826	CCDS1666
ENSG00000119655	ENST00000238633	NPC2	NA	
ENSG00000119669	ENST00000238647	IRF2BPL	NM_024496	CCDS9854
ENSG00000119812	ENST00000238823	FAM98A	"NM_015475; NM_001304538"	CCDS33179
ENSG00000120137	ENST00000239231	PANK3	NM_024594	CCDS4368
ENSG00000120509	ENST00000239666	PDZD11	NM_016484	CCDS14400
ENSG00000120686	ENST00000239878	UFM1	"NM_001286706; NM_001286705; NM_001286703; NM_016617"	CCDS9366
ENSG00000120709	ENST00000239906	FAM53C	"NM_001350194; NM_016605"	CCDS4204
ENSG00000120742	ENST00000239944	SERP1	NM_014445	CCDS3150
ENSG00000120837	ENST00000240055	NFYB	NM_006166	CCDS9098
ENSG00000120860	ENST00000240079	WASHC3	NM_016053	CCDS44959
ENSG00000120948	ENST00000240185	TARDBP	NM_007375	CCDS122
ENSG00000108848	ENST00000240304	LUC7L3	NM_006107	CCDS11573
ENSG00000114354	ENST00000240851	TFG	"NM_006070; NM_001195478"	CCDS2939
ENSG00000122140	ENST00000241600	MRPS2	NM_016034	CCDS6990
ENSG00000122218	ENST00000241704	COPA	NM_004371	CCDS1202
ENSG00000088986	ENST00000242577	DYNLL1	NM_003746	CCDS9200
ENSG00000123091	ENST00000242719	RNF11	NM_014372	CCDS556
ENSG00000123136	ENST00000242776	DDX39A	NM_005804	CCDS12308
ENSG00000123144	ENST00000242784	TRIR	NM_024038	CCDS12279
ENSG00000123595	ENST00000243325	RAB9A	NA	
ENSG00000077312	ENST00000243563	SNRPA	NM_004596	CCDS12565
ENSG00000204070	ENST00000243918	SYS1	NM_033542	CCDS13351
ENSG00000124172	ENST00000243997	ATP5F1E	NM_006886	CCDS13476
ENSG00000124181	ENST00000244007	PLCG1	NM_002660	CCDS13313
ENSG00000124193	ENST00000244020	SRSF6	NM_006275	CCDS13318
ENSG00000124226	ENST00000244061	RNF114	NM_018683	CCDS33482
ENSG00000124383	ENST00000244230	MPHOSPH10	NM_005791	CCDS1916
ENSG00000124541	ENST00000244496	RRP36	"NM_001329704; NM_033112"	CCDS34453
ENSG00000124562	ENST00000244520	SNRPC	NM_003093	CCDS34436
ENSG00000124733	ENST00000244711	MEA1	NM_014623	CCDS4879
ENSG00000125037	ENST00000245046	EMC3	NM_018447	CCDS2594
ENSG00000213741	ENST00000245458	RPS29	NM_001032	CCDS9685
ENSG00000125445	ENST00000245539	MRPS7	NM_015971	CCDS11718
ENSG00000125652	ENST00000245812	ALKBH7	NM_032306	CCDS12163
ENSG00000125656	ENST00000245816	CLPP	NM_006012	CCDS12162
ENSG00000125691	ENST00000245857	RPL23	NA	
ENSG00000125827	ENST00000246024	TMX4	NM_021156	CCDS13101
ENSG00000125912	ENST00000246117	NCLN	"NM_001321463; NM_020170"	CCDS32869
ENSG00000057757	ENST00000246151	PITHD1	NM_020362	CCDS240
ENSG00000125970	ENST00000246194	RALY	NM_016732	CCDS13230
ENSG00000126088	ENST00000246337	UROD	NM_000374	CCDS518
ENSG00000126261	ENST00000246548	UBA2	NM_005499	CCDS12439
ENSG00000213465	ENST00000246747	ARL2	NM_001667	CCDS8088
ENSG00000105373	ENST00000246802	NOP53	NM_015710	CCDS12705
ENSG00000126524	ENST00000246868	SBDS	NM_016038	CCDS5537
ENSG00000105671	ENST00000247003	DDX49	NM_019070	CCDS12390
ENSG00000126653	ENST00000247026	NSRP1	NM_032141	CCDS11255
ENSG00000126767	ENST00000247161	ELK1	NM_005229	CCDS14283
ENSG00000127184	ENST00000247655	COX7C	NM_001867	CCDS4063
ENSG00000090266	ENST00000247866	NDUFB2	NM_004546	CCDS5862
ENSG00000196453	ENST00000247930	ZNF777	NM_015694	CCDS43675
ENSG00000127445	ENST00000247970	PIN1	NM_006221	CCDS12220
ENSG00000178982	ENST00000248342	EIF3K	NM_013234	CCDS12517
ENSG00000127774	ENST00000248378	EMC6	NM_031298	CCDS11033
ENSG00000127837	ENST00000248450	AAMP	NM_001087	CCDS33378
ENSG00000127838	ENST00000248451	PNKD	NM_001077399	CCDS42816
ENSG00000127922	ENST00000248566	SEM1	NM_006304	CCDS5646
ENSG00000127947	ENST00000248594	PTPN12	NM_002835	CCDS5592
ENSG00000128185	ENST00000248879	DGCR6L	NM_033257	CCDS13778
ENSG00000100359	ENST00000248929	SGSM3	"NM_001350039; NM_001350040; NM_001350041; NM_001350042; NM_001350045; NM_001350048; NM_001350043; NM_001350046; NM_001350047; NM_001350044; NM_001301849; NM_015705"	CCDS14002
ENSG00000128463	ENST00000249209	EMC4	NM_001286420	CCDS66732
ENSG00000128524	ENST00000249289	ATP6V1F	NM_004231	CCDS5807
ENSG00000128590	ENST00000249356	DNAJB9	NM_012328	CCDS5752
ENSG00000128654	ENST00000249442	MTX2	"NM_001006635; NM_001319098; NM_006554"	CCDS2272
ENSG00000140264	ENST00000249786	SERF2	NM_001018108	CCDS32218
ENSG00000129245	ENST00000250113	FXR2	NM_004860	CCDS45604
ENSG00000129473	ENST00000250405	BCL2L2	"NM_004050; NM_001199839"	CCDS9591
ENSG00000129518	ENST00000250454	EAPP	"NM_001318916; NM_018453"	CCDS41941
ENSG00000165782	ENST00000250489	PIP4P1	NM_144568	CCDS9551
ENSG00000129559	ENST00000250495	NEDD8	NM_006156	CCDS9621
ENSG00000129562	ENST00000250498	DAD1	NM_001344	CCDS9571
ENSG00000138834	ENST00000250894	MAPK8IP3	NM_015133	CCDS10442
ENSG00000074695	ENST00000251047	LMAN1	NM_005570	CCDS11974
ENSG00000108406	ENST00000251241	DHX40	NM_024612	CCDS11617
ENSG00000100441	ENST00000251343	KHNYN	NM_001290256	CCDS32058
ENSG00000131462	ENST00000251413	TUBG1	NM_001070	CCDS11433
ENSG00000105193	ENST00000251453	RPS16	NM_001020	CCDS12535
ENSG00000117868	ENST00000251527	ESYT2	NA	
ENSG00000067248	ENST00000251636	DHX29	"NM_001345964; NM_001345965; NM_019030"	CCDS34158
ENSG00000132155	ENST00000251849	RAF1	"NM_001354692; NM_001354693; NM_002880; NM_001354691; NM_001354690"	CCDS2612
ENSG00000100991	ENST00000252015	TRPC4AP	NM_015638	CCDS13246
ENSG00000131495	ENST00000252102	NDUFA2	NM_002488	CCDS4234
ENSG00000130165	ENST00000252445	ELOF1	NM_032377	CCDS12264
ENSG00000130254	ENST00000252542	SAFB2	NM_014649	CCDS32879
ENSG00000130312	ENST00000252602	MRPL34	NM_023937	CCDS12356
ENSG00000130313	ENST00000252603	PGLS	NM_012088	CCDS12361
ENSG00000130402	ENST00000252699	ACTN4	"NM_001322033; NM_004924"	CCDS12518
ENSG00000130520	ENST00000252816	LSM4	NM_001252129	CCDS62601
ENSG00000130706	ENST00000253003	ADRM1	"NM_175573; NM_007002"	CCDS13496
ENSG00000130725	ENST00000253023	UBE2M	NM_003969	CCDS12987
ENSG00000130726	ENST00000253024	TRIM28	NM_005762	CCDS12985
ENSG00000130741	ENST00000253039	EIF2S3	NM_001415	CCDS14210
ENSG00000130811	ENST00000253108	EIF3G	NM_003755	CCDS12227
ENSG00000131013	ENST00000253329	PPIL4	NM_139126	CCDS34550
ENSG00000131100	ENST00000253413	ATP6V1E1	NM_001696	CCDS13745
ENSG00000131143	ENST00000253452	COX4I1	"NM_001318802; NM_001861; NM_001318788"	CCDS10955
ENSG00000131148	ENST00000253457	EMC8	NM_006067	CCDS10954
ENSG00000131368	ENST00000253686	MRPS25	NM_022497	CCDS2622
ENSG00000131381	ENST00000253699	RBSN	NM_022340	CCDS2623
ENSG00000131408	ENST00000253727	NR1H2	NM_007121	CCDS42593
ENSG00000131469	ENST00000253788	RPL27	NM_000988	CCDS11449
ENSG00000131475	ENST00000253794	VPS25	NM_032353	CCDS11438
ENSG00000132017	ENST00000254337	DCAF15	NM_138353	CCDS32926
ENSG00000173473	ENST00000254480	SMARCC1	NM_003074	CCDS2758
ENSG00000132286	ENST00000254616	TIMM10B	NM_012192	CCDS7766
ENSG00000132323	ENST00000254654	ILKAP	NM_030768	CCDS2526
ENSG00000132383	ENST00000254719	RPA1	"NM_001355120; NM_002945; NM_001355121"	CCDS11014
ENSG00000132394	ENST00000254730	EEFSEC	NM_021937	CCDS33849
ENSG00000132467	ENST00000254803	UTP3	NM_020368	CCDS3546
ENSG00000132471	ENST00000254806	WBP2	NM_012478	CCDS11731
ENSG00000132475	ENST00000254810	H3F3B	NM_005324	CCDS11729
ENSG00000132485	ENST00000254821	ZRANB2	NM_005455	CCDS660
ENSG00000132591	ENST00000254928	ERAL1	"NM_001317986; NM_001317985; NM_005702"	CCDS11244
ENSG00000132823	ENST00000255174	OSER1	NM_016470	CCDS13327
ENSG00000132952	ENST00000255304	USPL1	"NM_001321532; NM_005800"	CCDS9336
ENSG00000133243	ENST00000255608	BTBD2	NM_017797	CCDS12078
ENSG00000133275	ENST00000255641	CSNK1G2	NM_001319	CCDS12077
ENSG00000133398	ENST00000255764	MED10	NM_032286	CCDS34134
ENSG00000133606	ENST00000255977	MKRN1	NM_013446	CCDS5860
ENSG00000133639	ENST00000256015	BTG1	NM_001731	CCDS9043
ENSG00000133704	ENST00000256079	IPO8	NM_006390	CCDS8719
ENSG00000133872	ENST00000256255	SARAF	NM_016127	CCDS6074
ENSG00000134001	ENST00000256383	EIF2S1	NM_004094	CCDS9781
ENSG00000134046	ENST00000256429	MBD2	NM_003927	CCDS11953
ENSG00000134049	ENST00000256433	IER3IP1	NM_016097	CCDS11933
ENSG00000134056	ENST00000256441	MRPS36	NM_033281	CCDS34174
ENSG00000134108	ENST00000256496	ARL8B	NM_018184	CCDS2566
ENSG00000134153	ENST00000256545	EMC7	NM_020154	CCDS10032
ENSG00000134287	ENST00000256682	ARF3	NM_001659	CCDS8774
ENSG00000134294	ENST00000256689	SLC38A2	NM_018976	CCDS8749
ENSG00000134440	ENST00000256854	NARS	NM_004539	CCDS32837
ENSG00000134590	ENST00000257013	RTL8C	NM_001078171	CCDS43997
ENSG00000134748	ENST00000257181	PRPF38A	NM_032864	CCDS567
ENSG00000134809	ENST00000257245	TIMM10	NM_012456	CCDS7959
ENSG00000135211	ENST00000257663	TMEM60	NM_032936	CCDS5593
ENSG00000135334	ENST00000257787	AKIRIN2	NM_018064	CCDS5013
ENSG00000135372	ENST00000257829	NAT10	NM_024662	CCDS7889
ENSG00000135404	ENST00000257857	CD63	NM_001780	CCDS8890
ENSG00000135446	ENST00000257904	CDK4	NM_000075	CCDS8953
ENSG00000135506	ENST00000257966	OS9	NM_001261420	CCDS58247
ENSG00000135617	ENST00000258083	PRADC1	NM_032319	CCDS1924
ENSG00000204822	ENST00000258105	MRPL53	NM_053050	CCDS1944
ENSG00000135720	ENST00000258198	DYNC1LI2	"NM_001323955; NM_006141"	CCDS10818
ENSG00000135900	ENST00000258383	MRPL44	NM_022915	CCDS2459
ENSG00000135932	ENST00000258418	CAB39	NM_016289	CCDS2478
ENSG00000135940	ENST00000258424	COX5B	NM_001862	CCDS2032
